@relation Lithuanian_19

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric

@data
0.198846,0.619727,1
0.259433,0.526375,1
0.503278,0.158453,0
0.878132,0.397643,0
0.117032,0.873349,1
0.271205,0.238084,1
0.374016,0.404469,1
0.802092,0.517597,0
0.458531,0.409426,1
0.059488,0.298503,1
0.711554,0.272117,0
0.498599,0.882113,0
0.311486,0.257807,1
0.489197,0.486632,1
0.65679,0.050098,0
0.055762,0.406354,1
0.465249,0.869098,0
0.236324,0.273886,1
0.421819,0.456346,1
0.61039,0.788628,0
0.31143,0.233797,1
0.708812,0.695314,0
0.13493,0.142726,1
0.894451,0.414237,0
0.350735,0.594292,1
0.288029,0.9666,0
0.764595,0.599815,0
0.95684,0.480853,0
0.430047,0.467733,1
0.639356,0.348095,0
0.384112,0.531325,1
0.477428,0.375107,1
0.758555,0.413693,0
0.443488,0.713945,1
0.762408,0.321914,0
0.501126,0.318274,1
0.472952,0.402356,1
0.442959,0.509926,1
0.192967,0.289252,1
0.410521,0.342387,1
0.743481,0.843672,0
0.316353,0.264214,1
0.882165,0.087795,0
0.80657,0.634236,0
0.336366,0.93581,0
0.802651,0.41052,0
0.419777,0.317546,1
0.362125,0.695048,1
0.513364,0.500284,1
0.098957,0.783833,1
0.516473,0.989464,0
0.724305,0.554603,0
0.744313,0.447151,0
0.194042,0.789223,1
0.068054,0.754918,1
0.844904,0.808171,0
0.56877,0.443915,0
0.443008,0.353706,1
0.531329,0.662007,1
0.727981,0.513737,0
0.692499,0.332782,0
0.344233,0.27209,1
0.76842,0.675406,0
0.420332,0.54485,1
0.36907,0.31252,1
0.429387,0.460177,1
0.245204,0.228802,1
0.633202,0.645909,0
0.696992,0.292203,0
0.229991,0.570482,1
0.381473,0.808214,1
0.794516,0.717155,0
0.668361,0.489626,0
0.556624,0.141112,0
0.773327,0.305577,0
0.265251,0.537636,1
0.496503,0.887954,0
0.435898,0.741529,1
0.65917,0.230322,0
0.687787,0.228294,0
0.125783,0.74238,1
0.269205,0.545459,1
0.463467,0.929769,0
0.042003,0.807357,1
0.840498,0.406566,0
0.855019,0.518411,0
0.087917,0.835626,1
0.582874,0,0
0.410892,0.486511,1
0.177697,0.770459,1
0.262432,0.304031,1
0.233064,0.561645,1
0.396172,0.54823,1
0.674129,0.797982,0
0.400141,0.323937,1
0.704984,0.511856,0
0.627157,0.158742,0
0.698774,0.253135,0
0.902885,0.577204,0
0.727036,0.311859,0
0.212145,0.741084,1
0.880792,0.773754,0
0.366896,0.500846,1
0.188886,0.72241,1
0.228665,0.740992,1
0.990948,0.671841,0
0.302882,0.361932,1
0.623226,0.498357,0
0.537188,0.957904,0
0.957927,0.257212,0
0.460313,1,0
0.41923,0.335837,1
0.456372,0.406653,1
0.320289,0.242354,1
0.585171,0.703514,1
0.781661,0.191334,0
0.393023,0.130032,0
0.763872,0.457994,0
0.705619,0.223844,0
0.695347,0.753728,0
0.747425,0.373035,0
0.5328,0.95234,0
0.402039,0.653264,1
0.204616,0.685601,1
0.819239,0.321511,0
0.057682,0.604431,1
0.399416,0.682018,1
0.646681,0.706452,0
0.549466,0.13134,0
0.85716,0.397479,0
0.522816,0.090252,0
0.348017,0.704508,1
0.368911,0.908102,0
