@relation Phoneme_6

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric

@data
0.267436,0.175388,0.187998,0.638113,0.320759,1
0.38798,0.296303,0.660319,0.525653,0.49313,1
0.765628,0.32738,0.542516,0.298443,0.284537,0
0.264508,0.289516,0.459477,0.799817,0.034724,1
0.313759,0.305947,0.528344,0.897618,0.320759,0
0.306354,0.291838,0.432241,0.480989,0.223333,0
0.442569,0.839257,0.145261,0.306001,0.286035,0
0.402445,0.755671,0.474535,0.275996,0.287035,0
0.399173,0.386319,0.609389,0.640403,0.233575,1
0.38643,0.673692,0.545837,0.629867,0.232076,1
0.410022,0.452938,0.803144,0.68415,0.320759,1
0.486137,0.635828,0.218335,0.427852,0.277292,0
0.56828,0.331845,0.271479,0.380898,0.338996,0
0.386602,0.320057,0.624668,0.798213,0.138896,0
0.351817,0.523129,0.792737,0.221942,0.320759,0
0.394868,0.764779,0.179141,0.316079,0.285286,0
0.352161,0.394713,0.576616,0.601695,0.415938,1
0.394524,0.428648,0.622011,0.211635,0.74669,1
0.32943,0.336489,0.620461,0.50481,0.320759,1
0.678319,0.399536,0.259079,0.390747,0.343992,0
0.417944,0.702983,0.548494,0.457627,0.273295,0
0.501119,0.334167,0.240257,0.403115,0.297777,0
0.371104,0.925344,0.150576,0.281264,0.283288,0
0.413983,0.400964,0.233614,0.395557,0.296528,0
0.310315,0.329166,0.419841,0.14109,0.320759,0
0.535216,0.548491,0.215456,0.333715,0.300525,0
0.85638,0.309698,0.39969,0.494045,0.397452,0
0.745824,0.33631,0.265058,0.384563,0.305521,0
0.560703,0.607966,0.209477,0.325928,0.35948,0
0.354055,0.372567,0.625554,0.71759,0.069448,1
0.344068,0.45008,0.525244,0.290197,0.164876,0
0.33253,0.546348,0.658769,0.521759,0.410942,0
0.354055,0.421682,0.790965,0.230417,0.15988,1
0.325297,0.425255,0.781001,0.162849,0.447414,0
0.417255,0.659761,0.626439,0.278516,0.278291,0
0.414844,0.651902,0.585252,0.5,0.535598,1
0.468745,0.515449,0.236714,0.337151,0.348239,0
0.330463,0.686373,0.453942,0.441594,0.377467,0
0.197348,0.439007,0.137068,0.294778,0.283787,0
0.304632,0.198785,0.386404,0.268667,0.320759,1
0.404856,0.589748,0.552037,0.283326,0.275793,0
0.601515,0.545097,0.455934,0.601008,0.23982,0
0.278113,0.328809,0.497343,0.58131,0.139895,1
0.308593,0.302197,0.443756,0.362116,0.320759,1
0.425349,0.515449,0.386182,0.404031,0.301024,0
0.350267,0.307376,0.503764,0.860284,0.101174,0
0.318064,0.330059,0.45372,0.871507,0.161129,0
0.336835,0.334524,0.485828,0.836005,0.144392,0
0.493887,0.613502,0.227635,0.334173,0.347989,0
0.345617,0.379532,0.761293,0.714155,0.636523,1
0.367832,0.338096,0.505093,0.890747,0.078941,0
0.370243,0.357207,0.71302,0.643381,0.711716,1
0.894782,0.179675,0.331488,0.387311,0.305771,0
0.328569,0.338632,0.434012,0.74164,0.320759,1
0.408473,0.335953,0.443534,0.850206,0.178616,1
0.801102,0.442222,0.386847,0.46885,0.28054,0
0.302738,0.272191,0.373118,0.264315,0.320759,0
0.367143,0.419718,0.806909,0.226523,0.242568,0
0.374031,0.614574,0.208592,0.280348,0.723208,0
0.450663,0.628148,0.19287,0.41869,0.287035,0
0.312037,0.320236,0.095217,0.730646,0.122408,1
0.334941,0.291838,0.456377,0.805085,0.667749,1
0.409678,0.591534,0.517936,0.628264,0.21284,0
0.344068,0.33756,0.401904,0.658268,0.575568,1
0.383675,0.52688,0.677591,0.60536,0.261054,1
