@relation German_5

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric

@data
0.333333,0.161765,0,0.096154,0,0.25,0.333333,0,0,0.125,1,0.333333,0,0,0,1,0,1,0,1,0,1,0,0,1
1,0.294118,1,0.108974,0,0.75,0.666667,0.333333,0.333333,0.196429,1,0.333333,0,0,0,0,0,1,0,0,1,0,1,0,0
1,0.205882,0,0.25,0,0.5,0.666667,0.333333,0.666667,0.303571,0.5,0.333333,1,0,0,0,0,1,0,0,1,0,0,1,1
0.333333,0.647059,0.5,0.525641,1,0.75,0.333333,0.333333,0.666667,0.089286,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
0,0.029412,1,0.102564,0,0,0.666667,1,1,0.303571,1,0.666667,0,1,0,0,0,1,0,0,0,0,0,0,0
0,0.632353,0.5,0.666667,0,0.25,0.333333,0,0,0.285714,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0
1,0.294118,1,0.108974,0,0.5,0.333333,1,0.666667,0.321429,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0
0.333333,0.058824,0.5,0.070513,0,0.5,0.666667,0.333333,0,0.25,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
1,0.470588,1,0.487179,0,0.5,0.333333,0.333333,0,0.107143,0.5,0.333333,0,1,0,1,0,1,0,0,1,0,0,1,1
0,0.117647,0,0.051282,0,0.5,0.666667,1,0.666667,0.517857,0,0.333333,0,0,0,1,0,1,0,0,1,0,0,1,1
0.333333,0.102941,0.75,0.288462,0,0.75,0.666667,1,0.333333,0.571429,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1,0.117647,1,0.352564,1,1,0.666667,1,0.333333,0.535714,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
1,0.161765,1,0.076923,1,1,0.666667,1,0.333333,0.785714,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
1,0.117647,0.25,0.198718,0.5,0.5,0.333333,0.666667,0,0.285714,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0
1,0.029412,0.5,0.173077,0.5,0.5,0.666667,0.333333,0.666667,0.232143,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
0.666667,0.25,0.5,0.166667,0.25,0.5,0.333333,0,0.666667,0.160714,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0
1,0.205882,0.5,0.076923,0,0.25,1,1,0,0.357143,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
0,0.117647,0.5,0.083333,0,0.5,0.333333,0.666667,0.333333,0.196429,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
