@relation German_12

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric

@data
0,0.107143,1,0.127389,0,0.25,0.666667,0.666667,0,0.527273,1,0.333333,1,0,1,1,0,1,0,1,0,0,1,0,0
0,0.678571,0.5,0.242038,0,0.25,0.666667,0.666667,0.666667,0.272727,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1
1,0.303571,0.5,0.191083,1,1,0.666667,0.666667,0.333333,0.4,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
1,0.035714,1,0.063694,1,0.5,1,0.333333,0.333333,0.145455,1,0.333333,0,0,0,0,0,1,0,0,1,0,0,1,0
1,0.303571,0.5,0.146497,1,1,0.666667,1,0,0.490909,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0
0,0.25,1,0.050955,0,0.25,0.333333,1,0.333333,0.036364,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
0,0.071429,1,0.063694,0,1,0.666667,1,1,0.581818,0,0.333333,1,1,0,0,0,1,0,0,0,0,0,0,0
1,0.410714,0.75,0.312102,0,0.75,0.666667,1,0.666667,0.127273,1,0.333333,0,0,0,0,0,1,0,0,1,0,0,1,0
0,0.25,0.5,0.210191,0,0.75,0.333333,0,0,0.109091,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,0.142857,0,0.057325,0,0.75,0.666667,0.666667,0,0.163636,1,0.333333,0,0,0,0,0,1,0,0,1,0,0,1,1
1,0.303571,0.75,0.089172,0.25,0.75,0.666667,0.666667,0,0.272727,1,0.333333,0,0,0,0,0,1,0,0,1,0,0,0,0
0.333333,0.089286,0.5,0.019108,0,0.5,0.666667,0.666667,0,0.090909,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
0.333333,0.125,0.5,0.089172,0.75,0.25,0.333333,0,0,0.018182,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
0.333333,0.25,0.5,0.267516,0,1,0.666667,0,0,0.254545,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
1,0.357143,0.5,0.089172,0,0.75,0.666667,0,0.666667,0.236364,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0
0.333333,0.303571,1,0.159236,0.75,0.75,0.666667,0.333333,0.666667,0.236364,1,0.333333,0,1,0,0,0,1,0,0,1,0,0,1,0
0.666667,0.357143,0.5,0.070064,0.5,0.5,0.333333,0.666667,0.666667,0.690909,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
1,0.035714,1,0.420382,0,0.75,0.666667,0.666667,1,0.472727,1,0.333333,1,1,0,1,0,1,0,0,1,0,0,0,0
0,0.25,0.5,0.159236,0.75,0.5,0.666667,0.333333,0.666667,0.163636,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
0,0.196429,0.5,0.095541,0,0.25,0.666667,0.666667,0,0.309091,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0
0.333333,0.303571,0.5,0.165605,0.25,1,0,0.333333,0.666667,0.763636,0,0.333333,0,0,0,0,0,1,0,1,0,0,1,0,1
1,0.035714,0,0.012739,0,1,1,1,0.666667,0.363636,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
1,0.357143,1,0.10828,1,0.5,0.333333,0.333333,0.666667,0.254545,1,0.333333,0,1,0,0,0,1,0,0,1,0,0,1,0
0.333333,0.785714,0,0.522293,0.5,0.25,0.333333,0,0.666667,0.2,1,0.333333,0,0,0,1,0,1,0,0,1,0,0,1,0
