@relation German_8

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric

@data
0,0.205882,0.5,0.282759,0.25,0.5,0.666667,1,0.666667,0.285714,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0
1,0.117647,0.5,0.089655,0,0.5,0.666667,0.333333,0,0.553571,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
0,0.029412,1,0.213793,0,0.5,0,1,0,0.446429,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1
0.333333,0.029412,0.75,0.062069,0,0,0.666667,1,0.333333,0.5,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1
1,0.647059,1,0.4,0,0.5,0.666667,0.666667,1,0.214286,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
1,0.161765,0.5,0.117241,1,1,0.666667,0.333333,0.666667,0.285714,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
0.333333,0.294118,0.75,0.137931,1,0.25,0.666667,0.333333,0.333333,0.178571,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
1,0.117647,0.5,0.124138,0.25,0.75,0.666667,0,1,0.285714,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
0.333333,0.088235,0.25,0.048276,0,0.5,0.666667,1,0,0.071429,0.5,0,0,0,0,0,0,1,0,0,1,0,1,0,0
1,0.117647,1,0.027586,0,0.5,0.666667,0.333333,0.666667,0.232143,1,0.333333,0,0,0,0,0,1,0,0,1,0,0,1,0
1,0.161765,0.5,0.227586,0,1,0.333333,0.333333,0.666667,0.625,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
1,0.088235,0.5,0.131034,0,0.5,0.666667,0.333333,0,0.107143,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
0.333333,0.382353,0.75,0.110345,0.25,0.25,0.666667,0.666667,1,0.196429,0.5,0.333333,0,0,0,0,0,1,0,0,1,0,0,0,1
1,0.470588,0.5,0.737931,0,0,0.333333,0.333333,0.666667,0.125,1,0.333333,0,1,0,0,0,1,0,0,1,0,0,0,1
1,0.25,1,0.137931,0,0.25,0.333333,1,0.333333,0.071429,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
0.333333,0.823529,0.25,1,0.25,1,0.333333,1,1,0.732143,0,0.333333,0,1,0,0,0,1,0,0,0,0,0,0,1
0,0.029412,1,0.110345,0,0,0.666667,1,1,0.303571,1,0.666667,0,1,0,0,0,1,0,0,0,0,0,0,0
0,0.294118,1,0.42069,0,1,0.333333,1,1,0.446429,1,0.333333,1,1,0,0,1,1,0,0,0,0,0,0,0
1,0.117647,1,0.089655,0.75,0.75,0.333333,0.333333,0.333333,0.285714,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
0.333333,0.25,0.5,0.172414,0.25,1,0,0.333333,0.666667,0.75,0,0.333333,0,0,0,0,0,1,0,1,0,0,1,0,1
