@relation German_16

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric

@data
0.666667,0.117647,0.5,0.055249,0,0.5,1,1,0,0.071429,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
1,0.470588,0.5,0.59116,0,0,0.333333,0.333333,0.666667,0.125,1,0.333333,0,1,0,0,0,1,0,0,1,0,0,0,1
1,0.823529,1,0.745856,1,1,0.666667,1,1,0.785714,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
0.333333,0.161765,1,0.066298,1,1,0.666667,1,0,0.553571,1,0.333333,0,1,0,0,0,0,0,0,1,0,0,1,0
1,0.161765,1,0.066298,1,1,0.666667,1,0.333333,0.785714,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
0,0.25,0.5,0.082873,0,0.5,0.333333,0.333333,0,0.107143,1,0.333333,0,1,0,0,0,1,0,0,1,0,0,1,1
0.333333,0.514706,0.75,0.635359,0.25,0.75,0.666667,0.666667,1,0.232143,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0
0,0.470588,0.5,0.18232,0,0.5,0.666667,0.333333,0.333333,0.321429,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0
0.333333,0.647059,0.25,0.337017,0,1,0.333333,0.666667,1,0.714286,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1
0.333333,0.205882,0.5,0.331492,0,0.75,0.666667,0.666667,0,0.160714,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0
0,0.147059,0.5,0.20442,0,0,0.666667,1,1,0.053571,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
0.333333,0.117647,0.5,0.044199,0,0.5,0.333333,1,0,0.535714,1,0.333333,0,1,0,0,0,0,0,0,1,0,0,1,0
0,0.470588,0.5,0.171271,0,1,0.666667,0.333333,0.666667,0.410714,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1
0.333333,0.117647,0.5,0.39779,1,0,0.333333,0.333333,0,0.089286,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0
1,0.470588,0.5,0.19337,1,1,0.333333,1,0,0.464286,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
0.333333,0.117647,0,0.060773,0,0.5,0.666667,0.333333,0,0.214286,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0
1,0.088235,1,0.049724,0,1,0.666667,1,0,0.232143,1,0.333333,1,0,1,1,0,1,0,0,1,0,1,0,0
1,0.235294,1,0.176796,1,0.25,0,1,0,0.446429,1,0.333333,0,1,0,1,0,1,0,0,1,0,0,1,0
0,0.823529,0.75,0.359116,0,1,0.666667,1,1,0.785714,1,0.333333,0,1,0,0,0,1,0,0,1,0,0,1,1
1,0.205882,1,0.016575,0.5,1,0.666667,0.666667,0.333333,0.232143,0,0.333333,0,1,0,0,0,1,0,0,1,0,0,0,0
0.333333,0.470588,0.75,0.430939,0.25,1,0.666667,1,0.666667,0.410714,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1
0,0.029412,0.5,0.80663,0,1,0.666667,1,1,0.875,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1
1,0.294118,0.5,0.055249,0.25,0.75,1,0.666667,0.333333,0.125,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
0.333333,0.117647,0.5,0.027624,0.25,0.25,0.333333,0.333333,0.333333,0.071429,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1
1,0.470588,0.5,0.298343,0.25,0.75,0.666667,0.333333,0.666667,0.214286,1,0.333333,0,1,0,0,0,1,0,0,1,0,0,1,0
0.333333,0.161765,0.5,0.127072,0.25,0.5,0.333333,0.333333,0,0.107143,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
0,0.029412,0.5,0.022099,0,0.25,0.666667,1,0,0.392857,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0
0,0.647059,0.5,0.154696,0,0.5,0.666667,1,0.666667,0.625,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1
1,0.823529,0.5,0.541436,0.25,0.75,0.333333,1,0,0.035714,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
0.333333,0.470588,0.5,0.110497,0,0.75,0.666667,0,0.666667,0.232143,1,0.333333,1,0,0,0,0,1,0,0,1,0,0,1,0
1,0.029412,1,0.359116,0,0.75,0.666667,0.666667,1,0.464286,1,0.333333,1,1,0,1,0,1,0,0,1,0,0,0,0
1,0.117647,1,0.038674,1,1,0.666667,1,0.666667,0.285714,1,0.333333,0,0,0,0,0,1,0,0,1,0,0,1,0
1,0.205882,1,0.082873,0,0.5,0.666667,0.333333,0.666667,0.089286,1,0.333333,0,0,0,0,0,1,0,0,1,0,0,1,0
1,0.647059,0.5,0.198895,1,0.5,0,0.333333,0,0.339286,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
0.333333,0.823529,0.5,0.331492,0,0.5,0.666667,1,1,0.410714,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
