@relation Sonar_13

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric
@attribute 28 numeric
@attribute 29 numeric
@attribute 30 numeric
@attribute 31 numeric
@attribute 32 numeric
@attribute 33 numeric
@attribute 34 numeric
@attribute 35 numeric
@attribute 36 numeric
@attribute 37 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 40 numeric
@attribute 41 numeric
@attribute 42 numeric
@attribute 43 numeric
@attribute 44 numeric
@attribute 45 numeric
@attribute 46 numeric
@attribute 47 numeric
@attribute 48 numeric
@attribute 49 numeric
@attribute 50 numeric
@attribute 51 numeric
@attribute 52 numeric
@attribute 53 numeric
@attribute 54 numeric
@attribute 55 numeric
@attribute 56 numeric
@attribute 57 numeric
@attribute 58 numeric
@attribute 59 numeric
@attribute 60 numeric

@data
0.064911,0.372079,0.691548,0.68399,0.134508,0.283467,0.63361,1,0.964312,0.710139,0.417226,0.10804,0.412401,0.464858,0.366382,0.345794,0.093047,0.072387,0.208775,0.913099,0.976685,0.308455,0.146339,0.167503,0.066086,0.224666,0.217956,0.578839,0.433278,0.71599,0.162071,0.26803,0.714835,0.959443,0.902383,0.9375,0.872075,1,0.669408,0.470479,0.554884,0.458242,0.232845,0.216815,0.360819,0.287769,0.381869,0.878724,0.553459,0.223118,1,0.5,0.441558,1,0.544444,1,0.776471,0.441176,0.73716,0.341801,1
0.219191,0.262608,0.328192,0.372162,0.28703,0.289815,0.277613,0.370814,0.402636,0.406263,0.294015,0.427281,0.301989,0.232429,0.112264,0.065952,0.149725,0.16067,0.097255,0.00899,0.010972,0.221041,0.451521,0.628317,0.747029,0.876907,0.993452,0.995574,0.929942,0.930116,0.91248,0.818468,0.798564,0.699898,0.658287,0.660181,0.615788,0.459712,0.290744,0.440196,0.457544,0.485348,0.673218,0.781188,0.549854,0.475198,0.474871,0.527865,0.425052,0.30914,0.237792,0.176471,0.148052,0.017699,0.125926,0.232919,0.109804,0.160428,0.141994,0.101617,1
0.291627,0.154982,0.236274,0.305854,0.184948,0.245929,0.400238,0.360834,0.265067,0.364221,0.393577,0.599277,0.42878,0.213502,0.164124,0.235981,0.261216,0.352272,0.524422,0.672089,0.785737,0.739495,0.809579,0.924291,0.878074,0.859761,0.922428,0.995368,0.851543,0.581229,0.37624,0.231409,0.129247,0.105132,0.068234,0,0.038377,0.060789,0.055134,0.110022,0.056569,0.117705,0.300633,0.363356,0.236842,0.321053,0.379286,0.345251,0.224319,0.135753,0.2569,0.242081,0.088312,0.117994,0.188889,0.130435,0.164706,0.050802,0.012085,0.057737,1
0.291627,0.078721,0.420111,0.670251,0.11249,0.270494,0.4712,0.343757,0.438472,0.609038,0.735912,1,1,0.857287,0.732255,0.724193,0.857217,0.941789,0.868381,0.776648,0.552695,0.290563,0,0,0.23709,0.392456,0.448119,0.423837,0.254274,0.126132,0.335477,0.350258,0.344147,0.328537,0.360104,0.067944,0.162147,0.157964,0.152224,0.160784,0.02207,0.109646,0.154397,0.101144,0.086257,0.074649,0.085956,0.187171,0.15566,0.201613,0.622081,0.522624,0.58961,0.235988,0.548148,0.586957,0.113725,1,0.377644,0.34642,1
0.467545,0.265068,0.101789,0.139785,0.113691,0.26801,0.266033,0.248614,0.175181,0.345488,0.324672,0.386269,0.247733,0.08959,0.052573,0.098874,0.142369,0.17721,0.131403,0.079088,0.278827,0.579593,0.748967,0.843561,0.940984,0.998345,0.966596,1,0.857173,0.678172,0.788556,0.775219,0.58469,0.178317,0.083687,0.137702,0.078176,0.116192,0.164242,0.022658,0.128238,0.033211,0.062958,0.191393,0.104678,0.118274,0.231564,0.334034,0.242138,0.268817,0.309979,0.332579,0.062338,0.112094,0.188889,0.263975,0.537255,0.360963,0.229607,0.057737,1
0.146754,0.086101,0.006786,0.049582,0.141713,0.075352,0,0.151697,0.195913,0.133276,0.060146,0.078591,0.118894,0.098801,0.018304,0.069987,0.132318,0.318226,0.271882,0.250321,0.167528,0.192721,0.16128,0.209302,0.051947,0.050372,0.343691,0.627933,0.788365,0.734526,0.548774,0.203325,0.517374,0.483403,0.214169,0.318044,0.451454,0.571397,0.648218,0.570479,0.243002,0.270085,0.271319,0.11676,0.05,0.05639,0.215359,0.316859,0.127883,0.143817,0.142251,0.475113,0.649351,0.389381,0.822222,0.114907,0.058824,0.120321,0.265861,0.182448,0
0.170273,0.077491,0.319556,0.305257,0.232186,0.34005,0.291865,0.440009,0.221531,0.20878,0.267883,0.279855,0.193478,0.207319,0.192699,0.184261,0.208372,0.065514,0.331316,0.556721,0.419454,0.476127,1,0.864256,0.458811,0.449095,0.57796,0.705949,0.541806,0.331842,0.217875,0.170411,0.096038,0.352668,0.277941,0.317339,0.246665,0.182148,0.213472,0.130937,0.034499,0.033944,0.092771,0.130924,0.086696,0.080304,0.100282,0.062741,0.077568,0.146505,0.632696,0.843891,0.368831,0.014749,0.32963,0.285714,0.290196,0.473262,0.326284,0.147806,0
0.039511,0.055351,0.005552,0,0.052042,0.115374,0.021081,0.19827,0.112691,0.152581,0.070949,0.12159,0.069026,0.040379,0.067724,0.076997,0.175008,0.335302,0.400367,0.48887,0.568625,0.648911,0.608774,0.590001,0.483402,0.485278,0.656642,0.846953,1,0.911154,0.784087,0.648506,0.619438,0.600884,0.558712,0.547883,0.460311,0.338903,0.317626,0.298039,0.245789,0.193529,0.240839,0.224442,0.165497,0.106964,0.124237,0.178409,0.122117,0.159946,0.042463,0.079186,0.046753,0.020649,0.107407,0.046584,0.121569,0.082888,0.151057,0.057737,0
0.058325,0.0246,0.040716,0.102748,0.207766,0.133039,0.187648,0.146374,0.074189,0.100815,0.120146,0.293767,0.380959,0.290978,0.210901,0.21198,0.267744,0.247234,0.343419,0.431828,0.542673,0.638483,0.658154,0.751767,0.882787,0.9313,1,0.852203,0.665346,0.529882,0.399455,0.285554,0.177972,0.053925,0.091631,0.209375,0.203914,0.263054,0.204301,0.144553,0.13091,0.206227,0.265989,0.212275,0.104386,0.018258,0.093001,0.150018,0.045073,0.013441,0.012739,0.088235,0.085714,0.19469,0.381481,0.142857,0.105882,0.163102,0.172205,0.055427,0
0.32079,0.255228,0.301666,0.114695,0.211769,0.014353,0.177257,0.207141,0.199023,0.247962,0.252555,0.435772,0.339865,0.254637,0.141245,0.137107,0.21117,0.285254,0.484871,0.64512,0.764321,0.788161,0.78171,0.910767,0.948566,0.98049,1,0.945554,0.816201,0.600724,0.403161,0.315098,0.259136,0.224765,0.137012,0.048488,0.065274,0.144773,0.088973,0.126906,0,0.155433,0.361759,0.401852,0.258187,0.316691,0.351574,0.304592,0.249476,0.21371,0.333333,0.269231,0.057143,0.026549,0.177778,0.037267,0.086275,0.037433,0.07855,0.048499,1
