@relation GLASS_9

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric

@data
0.270557,0.29397,0.833333,0.271028,0.785408,0.099839,0.322491,0,0.470588,1
0.354996,0.655779,0.907692,0.143302,0.592275,0.025765,0.321561,0.068182,0.470588,2
0.336428,0.610553,0.982051,0.302181,0.570815,0.091787,0.258364,0,0.27451,1
0.281609,0.407035,0.912821,0.314642,0.684549,0.098229,0.302974,0,0.27451,0
0,0.668342,0.820513,0.47352,0.626609,0.283414,0,0.540909,0,5
0.286472,0.547739,0.869231,0.323988,0.61588,0.095008,0.29368,0,0,0
0.347922,0.756281,0.917949,0.336449,0.469957,0.090177,0.266729,0,0,0
0.286472,0.655779,0.935897,0.11215,0.667382,0.009662,0.325279,0,0,2
0.369142,0.939698,0.961538,0,0.457082,0.004831,0.331784,0,0,0
0.213086,0.71608,0.45641,0.46729,0.688841,0,0.301115,0.345455,0,5
0.204686,0.517588,0.902564,0.392523,0.639485,0.109501,0.243494,0,0.176471,1
0.226348,0.28392,0.902564,0.330218,0.643777,0.091787,0.288104,0,0,2
0.300619,0.577889,0.987179,0.299065,0.620172,0.083736,0.25,0,0,1
0.272325,0.454774,0.897436,0.264798,0.725322,0.090177,0.289963,0,0,0
0.312113,0.530151,0.728205,0.308411,0.635193,0.088567,0.33829,0,0,0
0.45977,0.133166,0.482051,0.395639,0.637339,0.075684,0.555762,0,0,3
0.240053,0.442211,0.902564,0.389408,0.744635,0.10628,0.229554,0,0,1
0.037135,0.492462,0.889744,0.258567,0.66309,0.099839,0.271375,0,0.607843,0
0.081786,0.5,0,0.856698,0.126609,1,0.142193,0,0,3
0.437666,0.753769,0.964103,0.090343,0.407725,0.017713,0.392193,0,0,2
0.403183,0.590452,0,0.345794,0.506438,0.05314,0.657063,0,0,3
0.393015,0.741206,0.346154,0.417445,0.401288,0.062802,0.476766,0,0.352941,1
0.45137,0.507538,0.935897,0.180685,0.521459,0.030596,0.410781,0,0.333333,0
0.203802,0.459799,0.902564,0.570093,0.594421,0.111111,0.236059,0,0,1
0.279841,0.48995,0.907692,0.286604,0.667382,0.10467,0.288104,0,0,0
0.594164,0.105528,0,0.495327,0.493562,0.130435,0.725836,0,0.666667,1
0.260389,0.590452,0.897436,0.267913,0.635193,0.080515,0.27881,0,0,0
0.074271,0.846734,0.446154,0.389408,1,0,0.200743,0,0,4
0.230327,0.635678,0.915385,0.367601,0.549356,0.10306,0.23513,0,0,1
0.273652,0.449749,0.910256,0.373832,0.613734,0.086957,0.287175,0,0.372549,0
0.679045,0.743719,0.948718,0.130841,0.360515,0.003221,0.407993,0,0.196078,0
0.436782,0.487437,0.084615,0.380062,0.751073,0.020934,0.542751,0,0.54902,3
0.322281,0.585427,0.879487,0.35514,0.508584,0.082126,0.29461,0,0,1
0.677719,0.050251,0,0.149533,0.712446,0,0.859665,0,0,1
0.704686,0.69598,0.807692,0.115265,0.145923,0.012882,0.577138,0,0,1
0.298408,0.494975,0.974359,0.246106,0.682403,0.090177,0.274164,0,0.235294,1
0.270557,0.570352,0.923077,0.264798,0.686695,0.093398,0.254647,0,0,0
0.32626,0.542714,0.864103,0.277259,0.607296,0.091787,0.315985,0,0.313725,0
0.547303,0.605528,0,0.401869,0.5,0.05153,0.6329,0,0,3
0.409814,0.457286,0.412821,0.58567,0.491416,0.122383,0.39684,0.109091,1,3
0.318302,0.545226,0.930769,0.242991,0.630901,0.091787,0.276952,0.040909,0.333333,1
0.265694,0.984925,0,0.470405,0.665236,0,0.295539,0.704545,0,5
0.45137,0.507538,0.935897,0.180685,0.5,0.030596,0.410781,0,0.333333,0
0.204244,0.517588,0.920513,0.383178,0.688841,0.10789,0.223048,0,0,1
0.231653,0.59799,0.869231,0.308411,0.590129,0.083736,0.299257,0,0,2
0.202918,0.449749,0.902564,0.501558,0.637339,0.111111,0.236059,0,0,1
0.234748,0.457286,0.9,0.358255,0.669528,0.109501,0.260223,0.027273,0.490196,1
0.462423,0.683417,0.258974,0.333333,0.493562,0.05314,0.530669,0,0,1
0.347038,0.78392,0,0.560748,0.611588,0,0.506506,0,0,4
0.309903,0.577889,0.85641,0.389408,0.482833,0.090177,0.330855,0,0,2
0.202034,0.525126,0.874359,0.401869,0.723176,0.011272,0.275093,0,0.372549,1
0.299293,0.603015,0.735897,0.280374,0.633047,0.088567,0.334572,0,0,0
0.308576,0.555276,1,0.34891,0.523605,0.088567,0.267658,0,0.196078,1
0.211317,1,0,0.691589,0.678112,0.008052,0.315985,0.240909,0,5
0.303714,0.675879,0,0.084112,0.978541,0,0.516729,0,0,1
0.240053,0.462312,0.912821,0.420561,0.697425,0.10467,0.237918,0,0,1
0.327586,0.477387,0.938462,0.395639,0.562232,0.093398,0.289963,0,0.235294,1
0.220159,0.422111,0.853846,0.373832,0.727468,0.10789,0.261152,0,0,1
0.450928,0,0.438462,0.395639,0.761803,0.093398,0.575279,0,0,3
0.193634,0.555276,0.894872,0.367601,0.72103,0.061192,0.241636,0,0,1
0.42794,0.668342,0.920513,0.258567,0.444206,0.014493,0.368959,0,0,0
0.525641,0.675879,0.953846,0.068536,0.399142,0.014493,0.430297,0,0.313725,0
0.217507,0.781407,0,0.806854,0.583691,0.012882,0.348513,0.481818,0,5
0.312555,0.826633,0.835897,0.601246,0.291845,0.235105,0.033457,0.740909,0,5
0.244916,0.977387,0,0.529595,0.680258,0,0.276022,0.722727,0,5
0.281609,0.384422,0.902564,0.35514,0.699571,0.091787,0.289033,0,0,0
0.183024,0.781407,0,0.744548,0.751073,0.012882,0.33829,0.277273,0.098039,5
0.260831,0.462312,0.892308,0.323988,0.675966,0.090177,0.27881,0,0,0
0.231653,0.432161,0.730769,0.358255,0.725322,0.091787,0.312268,0.05,0.431373,1
1,0.319095,0,0.221184,0.05794,0.019324,1,0,0.470588,1
0.280725,0.547739,0.946154,0.311526,0.583691,0.091787,0.259294,0,0,0
0.370469,0.886935,0,0.084112,0.770386,0,0.538104,0,0,4
0.356322,0.693467,0.617949,0.280374,0.61588,0,0.403346,0,0,4
0.655615,0.670854,0,0.333333,0.2897,0.030596,0.744424,0,0.196078,1
0.523431,0.605528,0.85641,0.292835,0.534335,0.096618,0.315985,0,0,5
0.233864,0.492462,0.815385,0.292835,0.660944,0.093398,0.314126,0,0.470588,1
0.202918,0.555276,0.85641,0.367601,0.688841,0.062802,0.259294,0,0,1
0.484527,0.788945,0.976923,0.152648,0.313305,0,0.395911,0,0,0
0.169319,0.748744,0.687179,1,0,0.270531,0.040892,1,0,3
0.33908,0.640704,0.858974,0.292835,0.469957,0.095008,0.32342,0,0,0
0.478338,0.798995,0.979487,0.056075,0.403433,0.017713,0.384758,0,0,0
0.213086,0.726131,0.902564,0.299065,0.641631,0.059581,0.233271,0,0.27451,1
0.727675,0.404523,0,0.11838,0.457082,0.009662,0.833643,0,0,1
