@relation Laryngeal3_13

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric

@data
0.951613,0,0.034884,0.01816,0.043552,0.193137,0.42203,0.18638,0.919594,0.389891,0.104856,0.068156,0.506661,0,0.194476,0.044636,1
0.887097,0.928189,0.152008,0.029591,0.182269,1,0.112072,0.096057,0.959435,0.65927,0.902216,0.355307,0.533277,0.375,0.012658,0.054012,2
0.967742,0,0.183932,0.008179,0.017524,0.074124,0.64009,0.441577,0.591815,0.099956,0.009983,0.136313,0.61934,0,0.163406,0.033224,1
0.983871,0,0.064905,0.020461,0.028838,0.15844,0.42139,0.223297,0.918146,0.540077,0.077155,0.027933,0.353228,0,0.252589,0.026712,1
0.983871,0,0.373996,0.011431,0.006211,0.040304,0.825809,0.758065,0.196306,0.006601,0.00166,0.073743,0.659146,0,0.19275,0.019917,0
0.951613,0,0.07019,0.013282,0.019743,0.184258,0.42171,0.203943,0.858747,0.438298,0.088644,0.01676,0.327612,0,0.212313,0.036066,1
0.983871,0,0.281607,0.005103,0.018929,0.07094,0.508165,0.465233,0.557769,0.092349,0.017872,0.459218,0.458798,0,0.037399,0.008494,2
0.967742,0,0.084989,0.050176,0.078305,0.185981,0.429395,0.209319,0.847157,0.139435,0.052492,0.001117,0.755081,0,0.337745,0.029717,1
0.967742,0,0.114376,0.029415,0.020704,0.064136,0.700608,0.576344,0.508511,0.003458,0.010927,0.178771,0.422573,0,0.29229,0.02106,1
0.967742,0.018576,0.142072,0.007404,0.027581,0.389398,0.510407,0.471326,0.660268,0.006349,0.06873,0.031285,0.615601,0.0625,0.065017,0.118782,2
0.983871,0,0.387315,0.01008,0.003623,0.121291,0.75056,0.792473,0.259326,0.00811,0.009651,0.044693,0.81637,0,0.040852,0.017456,0
0.983871,0,0.256025,0.008504,0.006803,0.005724,0.965098,0.923297,0.074611,0.00352,0.002145,0.021229,0.78849,0,0.040852,0.00563,0
0.983871,0,0.150317,0.009655,0.029059,0.111332,0.40634,0.292832,0.831945,0.309675,0.053768,0.149721,0.641191,0,0.033372,0.00808,1
0.951613,0.06483,0.085201,0.042222,0.171769,0.242085,0.270573,0.133333,0.935531,0.437103,0.151859,0.236872,0.54523,0.0625,0.135788,0.021017,1
0.983871,0,0.32833,0.012432,0.030612,0.161215,0.580211,0.560573,0.517566,0.00811,0.037811,0.143017,0.620235,0,0.009206,0.004639,1
