@relation Laryngeal3_11

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric

@data
1,0,0.568109,0.081488,0.075529,0.256069,0.240394,0.199331,0.864982,0.70159,0.042538,0.849156,0.221362,0,0.201428,0.036671,2
1,0,0.415465,0.067273,0.051783,0.267688,0.463004,0.242809,0.675451,0.722708,0.079424,0.070675,0.752735,0,0.263811,0.070752,2
0.989011,0,0.652244,0.342534,0.032845,0.143046,0.487456,0.435117,0.670397,0.293633,0.047171,0.582278,0.47308,0,0.224352,0.020485,1
1,0,0.564503,0.030634,0.020195,0.163427,0.64973,0.431773,0.422022,0.017724,0.023076,0.376582,0.504982,0,0.125893,0.032731,1
0.978022,0,0.222356,0.020441,0.009099,0.006375,0.930772,0.698328,0.201805,0.00044,0.00303,0.006329,0.737015,0,0.036077,0.002787,0
1,0,0.792067,0.089311,0.145806,0.350469,0.097491,0.20602,0.810108,0.235183,0.147835,0.828059,0.357905,0,0.216836,0.040601,2
0.978022,0,0.234375,0.035482,0.019382,0.06598,0.72658,0.520736,0.497473,0.004839,0.007284,0.093882,0.645788,0,0.143931,0.035539,1
1,0,1,0.007658,0.006732,0.241183,0.934265,0.942809,0.019134,0.008485,0.000583,0.017932,0.983872,0,0.080797,0.084097,0
1,0.023563,0.151042,0.11686,0.108374,0.204912,0.374405,0.147826,0.927437,0.275847,0.091661,0.413502,0.531047,0.076923,0.336716,0.047121,1
0.769231,0.079167,0.264423,0.052342,0.076269,0.356562,0.230232,0.161204,0.886282,0.640375,0.370928,0.244726,0.489425,0.230769,0.104472,0.035409,2
0.978022,0.101858,0.115785,0.099229,0.016497,0.09214,0.563671,0.304013,0.774729,0.095406,0.047346,0,0.727186,0.307692,0.19316,0.072733,1
