@relation Vehicle_19

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric

@data
0.790698,0.92,0.875,0.543779,0.197674,0.040816,0.92,0,0.909091,0.796875,0.949367,0.914005,0.814103,0.423729,0.181818,0.153846,0.285714,0.066667,3
0.372093,0.28,0.583333,0.267281,0.186047,0.122449,0.226667,0.542857,0.181818,0.34375,0.221519,0.165848,0.160256,0.067797,0.409091,0,0.821429,0.833333,0
0.162791,0.52,0.430556,0.235023,0.267442,0.061224,0.26,0.514286,0.181818,0.453125,0.278481,0.189189,0.551282,0.338983,0.136364,0.282051,0.178571,0.166667,3
0.302326,0.48,0.569444,0.64977,0.639535,0.816327,0.286667,0.514286,0.272727,0.65625,0.443038,0.200246,0.416667,0.508475,0.409091,0.435897,0.25,0.366667,0
0.325581,0.44,0.444444,0.239631,0.197674,0.102041,0.166667,0.628571,0.090909,0.40625,0.183544,0.121622,0.378205,0.084746,0.409091,0.102564,0.714286,0.733333,0
0.767442,0.88,0.861111,0.294931,0.046512,0.061224,0.86,0.028571,0.818182,0.734375,0.85443,0.842752,0.865385,0.40678,0.454545,0.282051,0.285714,0.066667,3
0.55814,0.68,0.569444,0.423963,0.232558,0.061224,0.493333,0.228571,0.454545,0.625,0.481013,0.42629,0.551282,0.237288,0.272727,0.025641,0.75,0.566667,3
0.302326,0.2,0.472222,0.152074,0.139535,0.081633,0.16,0.657143,0.090909,0.234375,0.234177,0.115479,0.102564,0.20339,0.318182,0.179487,0.464286,0.4,0
0.395349,0.32,0.541667,0.248848,0.186047,0.102041,0.213333,0.571429,0.181818,0.5,0.221519,0.153563,0.141026,0.118644,0.181818,0.230769,0.678571,0.733333,0
0.72093,0.84,0.777778,0.442396,0.174419,0.183673,0.706667,0.142857,0.636364,0.8125,0.575949,0.626536,0.673077,0.186441,0.090909,0.538462,0.392857,0.566667,2
0.27907,0.48,0.583333,0.230415,0.104651,0.102041,0.28,0.485714,0.181818,0.484375,0.316456,0.212531,0.371795,0.152542,0.136364,0,0.428571,0.4,2
0.093023,0.04,0.027778,0.023041,0.116279,0,0.013333,0.942857,0,0.015625,0.006329,0.0086,0.057692,0.457627,0.181818,0.179487,0.107143,0.066667,1
0.72093,0.48,0.722222,0.423963,0.174419,0.142857,0.506667,0.257143,0.454545,0.46875,0.455696,0.420147,0.301282,0.067797,0.545455,0.512821,0.678571,0.733333,1
0.395349,0.56,0.597222,0.276498,0.151163,0.081633,0.366667,0.4,0.272727,0.453125,0.424051,0.286241,0.570513,0.220339,0.545455,0.102564,0.392857,0.366667,1
0.395349,0.36,0.416667,0.119816,0.104651,0.081633,0.1,0.771429,0.090909,0.421875,0.164557,0.068796,0.25641,0.237288,0.227273,0.102564,0.464286,0.3,0
0.511628,0.84,0.888889,0.373272,0.139535,0.142857,0.673333,0.171429,0.636364,0.84375,0.588608,0.590909,0.673077,0.220339,0.045455,0.666667,0.357143,0.466667,1
0.44186,0.56,0.458333,0.414747,0.267442,0.081633,0.366667,0.342857,0.272727,0.53125,0.341772,0.302211,0.467949,0.152542,0.409091,0.487179,0.857143,0.833333,3
0.302326,0.28,0.25,0.147465,0.127907,0.081633,0.066667,0.8,0,0.34375,0.101266,0.050369,0.24359,0.050847,0.318182,0.102564,0.821429,0.833333,0
0.302326,0.08,0.416667,0.152074,0.127907,0.081633,0.093333,0.771429,0,0.15625,0.107595,0.065111,0,0.067797,0.181818,0.487179,0.821429,0.866667,0
0.627907,0.64,0.833333,0.410138,0.151163,0.142857,0.486667,0.257143,0.454545,0.65625,0.455696,0.410319,0.423077,0.033898,0.590909,0.205128,0.785714,0.9,2
0.325581,0.64,0.597222,0.37788,0.186047,0.081633,0.426667,0.314286,0.363636,0.5625,0.474684,0.347666,0.705128,0.169492,0.045455,0.051282,0.464286,0.466667,2
0.302326,0.36,0.555556,0.211982,0.174419,0.061224,0.213333,0.571429,0.181818,0.328125,0.227848,0.152334,0.371795,0.237288,0.772727,0.333333,0.321429,0.266667,2
0.209302,0.08,0.097222,0.023041,0.093023,0,0.033333,0.885714,0,0.0625,0.037975,0.023342,0.173077,0.491525,0.227273,0.230769,0.142857,0.1,0
0.209302,0.4,0.361111,0.069124,0.081395,0.040816,0.24,0.571429,0.181818,0.421875,0.240506,0.167076,0.397436,0.457627,0.363636,0.051282,0.107143,0,3
0.395349,0.08,0.527778,0.262673,0.151163,0.102041,0.253333,0.542857,0.181818,0.109375,0.265823,0.18059,0.160256,0.118644,0.090909,0.846154,0.535714,0.566667,1
0.55814,0.56,0.416667,0.368664,0.267442,0.081633,0.333333,0.4,0.272727,0.546875,0.310127,0.272727,0.384615,0.135593,0.409091,0.153846,0.857143,0.8,3
0.651163,0.88,0.902778,0.511521,0.244186,0.163265,0.62,0.171429,0.545455,0.796875,0.575949,0.539312,0.666667,0.186441,0.409091,0.461538,0.464286,0.5,1
0.116279,0.4,0.388889,0.156682,0.174419,0.081633,0.246667,0.571429,0.181818,0.421875,0.265823,0.170762,0.378205,0.389831,0.045455,0.358974,0.142857,0.1,3
0.767442,0.64,0.958333,0.40553,0.139535,0.142857,0.633333,0.171429,0.636364,0.59375,0.601266,0.554054,0.647436,0.169492,0.590909,0.794872,0.535714,0.7,2
0.348837,0.32,0.361111,0.119816,0.104651,0.122449,0.093333,0.771429,0.090909,0.40625,0.183544,0.065111,0.275641,0.20339,0.136364,0.25641,0.535714,0.433333,0
0.697674,0.64,0.930556,0.410138,0.116279,0.163265,0.68,0.142857,0.636364,0.671875,0.594937,0.597052,0.384615,0.118644,0,1,0.571429,0.833333,1
0.55814,0.96,0.930556,0.470046,0.186047,0.163265,0.766667,0.114286,0.727273,0.96875,0.658228,0.702703,0.596154,0.20339,0.272727,0.487179,0.357143,0.566667,1
0.27907,0.44,0.430556,0.276498,0.267442,0.081633,0.213333,0.571429,0.181818,0.359375,0.234177,0.157248,0.384615,0.186441,0.181818,0.102564,0.428571,0.4,3
0.418605,0.48,0.569444,0.281106,0.232558,0.122449,0.22,0.571429,0.181818,0.453125,0.21519,0.158477,0.429487,0.101695,0.5,0.358974,0.642857,0.7,0
0.232558,0.44,0.416667,0.16129,0.197674,0.061224,0.24,0.542857,0.181818,0.421875,0.253165,0.169533,0.467949,0.372881,0.454545,0.025641,0.178571,0.066667,3
0.860465,0.6,0.805556,0.474654,0.174419,0.122449,0.606667,0.2,0.545455,0.515625,0.544304,0.527027,0.455128,0.067797,0.772727,0.74359,0.607143,0.766667,2
0.093023,0.2,0.319444,0.110599,0.093023,0.081633,0.226667,0.571429,0.181818,0.1875,0.240506,0.159705,0.294872,0.389831,0.409091,0.512821,0.142857,0.133333,2
0.348837,0.48,0.5,0.304147,0.255814,0.081633,0.253333,0.514286,0.181818,0.40625,0.253165,0.191646,0.429487,0.152542,0.545455,0.025641,0.678571,0.666667,3
0.27907,0.28,0.527778,0.373272,0.302326,0.061224,0.306667,0.428571,0.272727,0.25,0.348101,0.239558,0.230769,0.220339,0.045455,0.282051,0.607143,0.533333,3
