@relation processed_Adult_4

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric

@data
1,0.076279,0.029821,0,0.538462,0.375,0.070175,0,0,0,1,0,0.258621,0,0
1,0.099535,0.020893,0,0,0,0,0,0,0,0,0.5,0.107759,0,0
0,0.121395,0.410714,0,0.230769,0.875,0.105263,0,0,0,1,0.5,0.021552,0.000599,0
1,0.270078,0.108571,0,0.538462,0.875,0.071579,1,1,0.025,1,0.5,0.193966,0.674512,1
1,0.20155,0.041607,0.5,0.230769,0.375,0.017544,1,0,0,0,0,0.301724,0,0
1,0.178295,0.059464,0.5,0.923077,0.875,0.178421,1,1,0.225,0,0.5,0.429957,0.030944,1
0,0.028372,0.321429,0.5,0.384615,0.375,0.048246,1,0,0,1,0.5,0,0,1
0,0.833333,0.214286,0.5,0,0,0,0,0,0,0,0,0,0,0
1,0.113643,0.089286,0.5,0,0,0.002982,0,0,0,1,0.5,0.107759,0.15745,0
1,0.324341,0.157679,0,0.230769,0.375,0.008772,1,1,0.25,1,0.5,0.344828,0,1
1,0.316589,0.015,0,0.615385,0.375,0.010175,0,0,0,1,0.5,0.332974,0.000075,0
1,0.169302,0.096786,0,0.923077,0.375,0.184211,1,1,0.025,0,0.5,0.227371,0,1
0,0.325581,0.183036,0.5,0.692308,0.375,0.175439,1,0,0,1,0.5,0,0.149667,1
1,0.237674,0.110179,0.5,0.538462,0.375,0.087719,0,1,0.05,1,0.5,0.172414,0.001534,0
1,0.187287,0.055,0.5,0.615385,0.375,0.131579,1,1,0.125,1,0.5,0.107759,0.000112,1
1,0.193798,0.03125,0.5,0.461538,0.375,0.033684,1,1,0.075,1,0.5,0.426724,0,1
0,0.036124,0.013393,1,0.923077,0,0.350877,0,0,0,1,0,0.323276,0,1
1,0.297209,0.178571,0.5,1,0.875,0.263158,1,1,0.15,1,0.5,0,0.037417,1
0,0.453488,0.16375,0.5,0.230769,0.875,0.035088,0,0,0,1,0,0.258621,0,0
1,0.232558,0.056607,0.5,0.076923,0.375,0.020526,0,0,0,1,0,0,0,0
1,0.115039,0.397321,0.5,1,0.875,0.01614,1,1,0.025,0,0.5,0.107759,0,1
1,0.111163,0.113036,0,0.538462,0.375,0.005789,0,0,0,0,0.5,0.172414,0.039587,0
1,0.047752,0.126429,0,0,0,0,0,0,0,1,0.5,0.193966,0.000037,0
0,0.502636,0.047679,0.5,0.153846,0.75,0.011754,0,0,0,0,0.5,0,0.00449,0
0,0.104651,0.303571,0.5,0.769231,0.375,0.061404,1,1,0.25,0,0.5,0.086207,0.037043,0
1,0.437984,0.071429,0.5,0.461538,0.375,0.061404,1,1,0.05,1,0.5,0,0.000561,1
0,0.053023,0.193393,0.5,0.153846,0.875,0.010175,0,0,0,0,0.5,0.086207,0.01811,0
1,0.426357,0.900357,0.5,0.769231,0.875,0.007368,1,1,0.025,0,0.5,0.818966,0.003368,0
1,0.076279,0.188929,0.5,0.769231,0.375,0.013158,1,1,0.025,0,0.5,0.172414,0,0
1,0.406977,0.349643,0.5,1,0.875,0.279298,1,1,0.2,0,0.5,0,0,1
1,0.107287,0.090714,0,0.538462,0.875,0.090702,1,0,0,0,0.5,0,0,1
0,0.217054,0.02375,0.5,0.615385,0.375,0.008772,0,0,0,1,0.5,0.323276,0,0
1,0.050388,0,0,0,0,0,0,1,0.1,0,0.5,0.048491,0.000037,0
1,0.094264,0.008929,0.5,0.076923,0.875,0.023333,1,0,0,1,0.5,0,0,1
1,0.09814,0.409286,0.5,0.230769,0.375,0.055614,0,0,0,1,0.5,0.107759,0.045349,0
0,0.245271,0.125,0.5,0.076923,0.375,0.105263,1,0,0,1,0.5,0.323276,0,0
0,0.047752,0.157679,0,0.538462,0.875,0.105263,1,0,0,0,0.5,0.258621,0,1
1,0.425116,0.178571,0.5,0.153846,0.5,0.078947,0,0,0,1,0.5,0.15194,0,0
0,0.213178,0.016429,0.5,0.230769,0.375,0.018947,1,1,0.1,0,0.5,0.409483,0.018708,1
