@relation processed_Adult_2

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric

@data
1,0.128307,0.008929,0,0.538462,0.875,0.008772,0,0,0,0,0.5,0.14,0.00204,0
1,0.080754,0.371964,0,0.384615,0.375,0.004386,1,0,0,0,0.5,0.06,0.00375,0
1,0.278056,0.072857,0,1,0.875,0.001404,0,0,0,0,0.5,0.064,0.00001,0
1,0.17586,0.053571,0.5,0.076923,0.875,0.065789,1,1,0.15,0,0.5,0.1,0.00327,1
1,0.321287,0.267857,0.5,0.692308,0.5,0.055614,1,0,0,1,0,0.21,0,0
1,0.694622,0.34375,0.5,0.692308,0.375,0.304035,1,1,0.125,0,0.5,0,0,1
1,0.27529,0.026786,0,0.538462,0.375,0.001404,0,0,0,0,0.5,0.12,0,0
1,0.073491,0.005893,0.5,0.769231,0.75,0.007368,0,0,0,0,0.5,0.1,0.0004,1
1,0.214767,0.008929,0.5,0.153846,0.5,0,1,0,0,1,0.5,0,0,1
1,0.438008,0.214286,0.5,0.461538,0.375,0.045263,1,1,0.125,1,0.5,0.054,0.01097,1
1,0.093723,0.142857,0,0.153846,0.375,0.035088,0,0,0,1,0.5,0.18,0.01,0
1,0.165658,0.415179,0,0.615385,0.375,0.029298,1,0,0,1,0.5,0.08,0.003,1
0,0.31558,0.214286,0.5,0.076923,0.375,0.04386,0,0,0,0,0.5,0.136,0,0
1,0.351548,0.232143,0.5,0.384615,0.375,0.004386,1,0,0,1,0.5,0.2215,0,0
1,0.108075,0.044643,0,0.230769,0.375,0.004386,0,0,0,0,0.5,0.07,0.00004,0
1,0.243472,0.035714,0,0.076923,0.875,0.105263,0,0,0,0,0.5,0.088,0.00537,0
1,0.257998,0.517857,0.5,0.076923,0.375,0.004386,0,0,0,0,0.5,0,0.00286,0
1,0.387688,0.647321,0.5,0.615385,0.375,0.002982,0,0,0,0,0.5,0.16,0.03552,0
1,0.73059,0.446429,0.5,0.230769,0.875,0.280702,1,0,0,1,0.5,0.012,0.02028,1
0,0.093723,0.020893,0,0.384615,0.375,0.020526,1,0,0,1,0.5,0.08,0,0
0,0.121044,0.369107,0.5,0.923077,0.875,0.011754,1,1,0.025,1,0.5,0.04,0.0005,1
1,0.115338,0,0.5,0.538462,0.375,0,0,0,0,0,1,0.092,0,0
0,0.093723,0.306607,0.5,0.923077,0.875,0.026316,1,1,0.175,0,0.5,0.048,0,1
0,0.102369,0.0075,0.5,0.769231,0.875,0.010175,1,1,0.275,0,0.5,0.04,0.00099,1
1,0.299671,0.110179,0.5,0.538462,0.375,0.087719,0,1,0.05,1,0.5,0.08,0.00041,0
0,0.044614,0.0075,0.5,0.384615,0.375,0.004386,0,0,0,0,0.5,0.1,0.00001,0
1,0.380425,0.08625,0.5,0.615385,0.375,0.004386,0,1,0.05,0,0.5,0.11,0.00001,0
1,0.651392,0.001429,0.5,1,0.875,0.001404,1,0,0,0,0.5,0,0.03,1
1,0.543317,0.053571,0.5,0.538462,0.375,0.087719,1,0,0,1,0.5,0.07,0,0
0,0.158568,0.41375,0.5,0.923077,0.375,0.001404,1,0,0,0,0.5,0.04,0.01349,1
1,0.155629,0.410714,0.5,0.153846,0.375,0.014561,0,0,0,0,0.5,0,0,0
1,0.794052,0.055,0.5,0.769231,0.375,0.004386,1,0,0,1,0.5,0.13,0,1
1,0.322843,0.077321,0,0.230769,0,0,0,0,0,0,0.5,0.06,0,0
1,0.126751,0.147321,0,0.153846,0.875,0.001404,0,0,0,0,0.5,0.07,0.001,0
1,0.077814,0.005893,0.5,0.076923,0.375,0.008772,0,0,0,1,0,0.14,0,0
1,0.224797,0.071429,0.5,0.076923,0.375,0.026316,0,0,0,1,0.5,0.04,0,0
1,0.342902,0.098214,0.5,0.461538,0.375,0.149123,1,1,0.15,0,0.5,0.102,0,1
1,0.04323,0,0,0.384615,0.375,0.008772,0,0,0,0,0.5,0.03,0,0
1,0.164275,0.450893,0.5,0.538462,0.375,0.004386,0,1,0.05,0,0.5,0,0.05552,0
0,0.94968,0.535714,0.5,0.692308,1,0,1,1,0.35,0,0.5,0,0.03376,1
1,0,0.142857,0,0.615385,0.375,0.061404,1,1,0.05,1,0.5,0.06,0.01,1
1,0.067785,0.159286,0.5,0.538462,0.375,0.008772,0,0,0,0,0,0.04,0,0
1,0.207505,0.017857,0.5,0.538462,0.375,0.051228,1,1,0.125,1,0.5,0.156,0,1
1,0.40498,0.142857,0.5,0.538462,0.5,0.175439,1,0,0,1,0,0.14,0,0
1,0.291025,0.096786,0,0.461538,0.375,0.004386,0,0,0,1,0,0.04,0,0
1,0.146983,0.016429,0.5,0.230769,0.375,0.004386,0,0,0,1,0.5,0.14,0.00055,0
1,0.169981,0.063929,0.5,0.538462,0.375,0.018947,0,0,0,1,0.5,0.068,0.00001,0
0,0.964033,0.214286,0.5,0,0,0,0,0,0,0,0,0,0,0
1,0.342902,0.008929,0.5,0.153846,0.5,0.140351,0,0,0,1,0,0.21,0,0
1,0.321287,0.089286,0.5,0.538462,0.375,0.04386,0,0,0,1,0.5,0.14,0,0
1,0.194536,0.446429,0.5,0.384615,0.375,0.105263,1,0,0,1,0,0.01,0,1
1,0.351548,0.002857,0,0.461538,0.5,0.001404,1,1,0.025,1,0.5,0.14,0.02,1
1,0.322843,0.107143,0.5,0.076923,0.375,0.005789,0,0,0,1,0.5,0.06,0,0
1,0.111015,0.330357,0.5,0.538462,0.375,0.058421,1,1,0.075,1,0.5,0.02,0.00028,1
1,0.426595,0.025179,0.5,0.538462,0.375,0.013158,0,1,0.05,0,0.5,0.1125,0.005,0
1,0.303994,0.696429,0.5,0.538462,0.375,0.245614,1,1,0.4,0,0.5,0,0.05,1
0,0.335812,0.080357,0,0.923077,0.375,0.122807,0,0,0,1,0.5,0.1,0.00141,0
0,0.169981,0.029643,0.5,0.769231,0.375,0.014561,0,1,0.025,1,0.5,0.1,0.00011,0
0,0.154245,0.026786,0.5,0.538462,0.375,0.070175,0,1,0.05,1,0.5,0.1,0.00394,0
1,0.167214,0.035714,0.5,0.538462,0.375,0.017544,0,0,0,1,0,0.14,0,0
0,0.038907,0.005893,0.5,0.384615,0.375,0.035088,0,1,0.05,1,0.5,0.16,0.00001,0
1,0.540377,0.303571,0.5,0.923077,0.875,0.491228,1,1,0.025,1,0.5,0.044,0.02,1
0,0.423656,0.214286,0.5,0.230769,0.375,0.035088,1,0,0,1,0.5,0,0,1
1,0.775203,0.096786,0.5,0.538462,0.375,0.084737,0,0,0,1,0.5,0.16,0,0
0,0.08646,0.267857,0.5,0.769231,0.375,0.095088,1,1,0.125,0,0.5,0.092,0.26726,1
1,0.668684,0.053571,0.5,0.076923,0.375,0.131579,0,0,0,1,0.5,0,0.0035,0
0,0.374719,0.428571,0.5,0.769231,0.875,0.491228,1,1,0.2,0,0.5,0,0.0659,1
0,0.749265,0.011964,0.5,0.153846,0.5,0.035088,1,0,0,1,0.5,0.126,0.02197,0
1,0.180183,0.03125,0.5,0.769231,0.375,0.162281,1,1,0.05,1,0.5,0.26,0.02,1
0,0.077814,0.357143,0.5,0.615385,0.375,0.035088,0,1,0.025,0,0.5,0.06,0.00001,0
0,0.526025,0.238036,0.5,0.769231,0.375,0.258772,1,1,0.075,1,0.5,0,0,1
0,0.311257,0.107143,0,0.307692,0.25,0,0,0,0,0,0.5,0.08,0.0002,0
0,0.256441,0.126429,0.5,0.153846,0.5,0.017544,1,0,0,1,0.5,0.0855,0,0
0,0.146983,0.044643,0,0,0,0.114035,0,0,0,0,0.5,0.14,0,0
1,0.141276,0.019286,0,1,0.375,0.001404,1,1,0.025,1,0.5,0.42,0.00059,1
0,0.187273,0.023929,0.5,0.384615,0.875,0.061404,1,0,0,0,0.5,0.2,0,0
1,0.389071,0.178571,0.5,0.538462,0.5,0.087719,1,1,0.15,0,0.5,0,0.00367,1
1,0.206121,0.116071,0.5,0.538462,0.875,0.080351,0,1,0.025,1,0.5,0.208,0.00021,0
1,0.618191,0.270893,0.5,0.153846,0.5,0.26614,1,1,0.375,1,0.5,0,0.05,1
1,0.161335,0.410714,0.5,0.615385,0.875,0.074561,1,1,0.275,1,0.5,0.145,0.00284,1
1,0.115338,0.03875,0.5,0.769231,0.375,0.052632,0,0,0,0,0.5,0.054,0.00007,0
0,0.151306,0.302143,0,1,0.375,0.086316,0,0,0,0,0.5,0.082,0,1
1,0.076431,0.366071,0.5,0.538462,0.875,0.03807,0,0,0,0,0.5,0.16,0.00013,0
1,0.161335,0.410714,0.5,0.153846,0.375,0.122807,1,1,0.225,0,0.5,0.028,0.00742,1
1,0.344458,0.077321,0.5,0.538462,0.375,0.052632,0,0,0,0,1,0.06,0,0
1,0.31264,0.001429,0,0.461538,0.375,0.001404,0,0,0,0,0.5,0,0,0
1,0.396334,0.116071,0.5,0.769231,0.875,0.315789,1,0,0,1,0.5,0.051,0.00639,1
1,0.207505,0.026786,0.5,0.538462,0.5,0.008772,1,0,0,0,0.5,0.1745,0.00023,1
1,0.476915,0,0.5,0.538462,0.5,0.526316,1,0,0,0,0.5,0,0,1
0,0.087844,0.340714,0.5,0.384615,0.375,0.002982,1,0,0,0,0.5,0.05,0,1
1,0.293965,0.056607,0.5,0.076923,0.375,0.020526,0,0,0,1,0,0,0,0
1,0.407747,0.232143,0.5,0.461538,0.875,0.149123,1,1,0.3,1,0.5,0.0465,0,1
0,0.151306,0.392857,0,0.769231,0.375,0.105263,1,0,0,1,0.5,0.134,0,0
1,0.243472,0.055,0.5,0.615385,0.375,0.131579,1,1,0.125,1,0.5,0.05,0.00003,1
1,0.308145,0.178571,0,0.384615,0.375,0.298246,1,0,0,0,0.5,0,0,0
0,0.100813,0.02375,0.5,0.615385,0.375,0.058421,0,0,0,0,0.5,0.11,0.00005,0
1,0.256441,0.129464,0.5,0.384615,0.375,0.008772,0,0,0,1,0.5,0.05,0,0
1,0.658482,0.107143,0,0,0,0.052632,0,0,0,0,0.5,0.09,0.00004,0
1,0.204565,0.011964,0.5,0.230769,0.875,0.122807,0,0,0,1,0.5,0.17,0,0
1,0.161335,0,0.5,0.230769,0.375,0.035088,0,1,0.275,0,0,0,0,0
1,0.076431,0.087857,0.5,0.538462,0.75,0.033684,0,1,0.05,1,0.5,0.08,0.00587,0
0,0.337195,0.089286,0,0.538462,0.375,0.087719,0,0,0,1,0.5,0,0.00002,0
1,0.442331,0.209821,0.5,0.923077,0.875,0.350877,1,1,0.35,1,0.5,0.1995,0,1
1,0.595193,0.272321,0.5,0.615385,0.875,0.54386,1,1,0.3,0,0.5,0,0.0079,1
1,0.331489,0.089286,0.5,0.384615,0.375,0.061404,0,1,0.05,1,0.5,0.36,0,0
0,0.198859,0.482143,0,0,0,0.070175,0,1,0.025,1,0.5,0.1,0.00001,0
1,0.108075,0,0.5,0.076923,0.375,0.017544,0,0,0,0,0.5,0.072,0,0
0,0.200242,0.074464,0.5,0.538462,0.875,0.096491,1,0,0,1,0.5,0.18,0.00001,0
