@relation Blood_19

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric

@data
0.013889,0.186047,0.186047,0.510417,0
0.055556,0.418605,0.418605,0.697917,1
0.055556,0.023256,0.023256,0.291667,0
0.194444,0,0,0.125,0
0.194444,0.093023,0.093023,0.270833,0
0.055556,0.093023,0.093023,0.145833,1
0.152778,0.023256,0.023256,0.25,0
0.152778,0.023256,0.023256,0.197917,0
0.055556,0.139535,0.139535,0.208333,1
0.152778,0,0,0.09375,1
0.055556,0.232558,0.232558,0.791667,0
0.222222,0.069767,0.069767,0.447917,0
0.027778,0,0,0,0
0.027778,0.069767,0.069767,0.34375,0
0.194444,0,0,0.125,0
0.027778,0.046512,0.046512,0.229167,0
0.125,0.186047,0.186047,0.541667,0
0.013889,0.302326,0.302326,0.96875,0
0.055556,0.348837,0.348837,0.375,1
0.319444,0.046512,0.046512,0.270833,0
0.027778,0,0,0,0
0.055556,0.139535,0.139535,0.520833,0
0.347222,0.116279,0.116279,0.5,0
0.194444,0.069767,0.069767,0.25,0
0.055556,0.186047,0.186047,0.25,1
0.222222,0.023256,0.023256,0.708333,0
0.027778,0.116279,0.116279,0.208333,1
0.027778,0.023256,0.023256,0.145833,0
0.055556,0.44186,0.44186,0.697917,1
0.055556,0.069767,0.069767,0.020833,1
0.055556,0,0,0.020833,1
0.152778,0.046512,0.046512,0.25,0
0.027778,0.093023,0.093023,0.09375,1
0.125,0,0,0.072917,0
0.055556,0,0,0.020833,0
0.055556,0.116279,0.116279,0.385417,0
0.027778,0.209302,0.209302,0.645833,0
0.027778,0.302326,0.302326,0.572917,1
0.027778,0.046512,0.046512,0.78125,0
0.194444,0.069767,0.069767,0.25,0
0.027778,0,0,0,0
0.194444,0.348837,0.348837,0.708333,0
0.055556,0,0,0.020833,0
0.027778,0.046512,0.046512,0.375,1
0.027778,0,0,0,0
0.055556,0.186047,0.186047,0.552083,0
0.027778,0.116279,0.116279,0.270833,0
0.194444,0.046512,0.046512,0.802083,0
0.055556,0.023256,0.023256,0.020833,0
0.069444,0.116279,0.116279,0.270833,0
0.027778,0.232558,0.232558,0.895833,0
0.027778,0.069767,0.069767,0.125,1
0.027778,0.069767,0.069767,0.125,0
0.041667,0.302326,0.302326,0.34375,0
0.055556,0.046512,0.046512,0.270833,0
0.194444,0.093023,0.093023,0.125,0
0.319444,0.418605,0.418605,0.625,0
0.055556,0.139535,0.139535,0.270833,0
0.055556,0.023256,0.023256,0.458333,0
0.069444,0.139535,0.139535,0.25,1
0.222222,0,0,0.145833,0
0.555556,0,0,0.395833,0
0.152778,0.093023,0.093023,0.34375,0
0.152778,0.348837,0.348837,0.90625,0
0.291667,0.046512,0.046512,0.375,0
