@relation Blood_17

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric

@data
0.152778,0.163265,0.163265,0.375,0
0.097222,0.204082,0.204082,0.90625,0
0.027778,0.22449,0.22449,1,0
0.041667,0.306122,0.306122,0.75,0
0.222222,0.081633,0.081633,0.604167,0
0.055556,0.183673,0.183673,0.270833,1
0.152778,0,0,0.09375,0
0.291667,0,0,0.197917,0
0.027778,0,0,0,0
0.138889,0.081633,0.081633,0.375,0
0.125,0.020408,0.020408,0.520833,0
0.152778,0.061224,0.061224,0.583333,0
0.222222,0.204082,0.204082,0.395833,0
0.291667,0,0,0.197917,0
0.152778,0,0,0.09375,0
0.027778,0.183673,0.183673,0.489583,0
0.055556,0.081633,0.081633,0.145833,1
0.319444,0,0,0.21875,0
0.222222,0.285714,0.285714,0.885417,0
0.055556,0.244898,0.244898,0.385417,1
0.222222,0,0,0.145833,0
0.152778,0,0,0.09375,0
0.041667,0.081633,0.081633,0.25,0
0.319444,0.020408,0.020408,0.25,0
0.222222,0,0,0.145833,0
0.027778,0,0,0,0
0.319444,0,0,0.21875,0
0.055556,0,0,0.020833,1
0.055556,0.653061,0.653061,1,1
0.222222,0.040816,0.040816,0.458333,0
0.027778,0.204082,0.204082,0.802083,1
0.152778,0.081633,0.081633,0.322917,0
0.055556,0.306122,0.306122,0.708333,1
0.027778,0.163265,0.163265,0.354167,0
0.027778,0.102041,0.102041,0.270833,1
0.027778,0,0,0,0
0.152778,0.020408,0.020408,0.09375,0
0.152778,0.122449,0.122449,0.760417,0
0.194444,0,0,0.125,0
0.027778,0.244898,0.244898,0.770833,1
0.222222,0,0,0.145833,0
0.486111,0.040816,0.040816,0.645833,0
0.222222,0.061224,0.061224,0.21875,0
0.027778,0.122449,0.122449,0.78125,0
0.152778,0.061224,0.061224,0.614583,0
0.013889,0.22449,0.22449,0.34375,0
0.152778,0.020408,0.020408,0.25,0
0.055556,0,0,0.020833,0
0.222222,0.081633,0.081633,0.395833,1
0.027778,0.040816,0.040816,0.208333,0
0.027778,0.102041,0.102041,0.135417,1
0.152778,0.020408,0.020408,0.375,1
0.027778,0.285714,0.285714,0.489583,1
0.027778,0.122449,0.122449,0.270833,1
0.027778,0.040816,0.040816,0.375,1
0.222222,0,0,0.145833,0
0.027778,0,0,0,0
0.027778,0.020408,0.020408,0.020833,1
0.055556,0.040816,0.040816,0.333333,0
0.222222,0.102041,0.102041,0.395833,0
0.055556,0.265306,0.265306,0.395833,0
0.111111,0.285714,0.285714,0.78125,0
0.222222,0,0,0.145833,0
0.194444,0.020408,0.020408,0.28125,0
0.055556,0,0,0.020833,0
0.027778,0.061224,0.061224,0.145833,0
0.152778,0,0,0.09375,0
0.055556,0.163265,0.163265,0.395833,0
0.055556,0.142857,0.142857,0.270833,0
0.152778,0.061224,0.061224,0.260417,0
0.055556,0.081633,0.081633,0.145833,1
0.027778,0,0,0,0
0.069444,0.102041,0.102041,0.270833,0
0.069444,0.265306,0.265306,0.875,0
0.055556,0.204082,0.204082,0.791667,0
0.319444,0.061224,0.061224,0.447917,0
0.152778,0.061224,0.061224,0.270833,0
0.194444,0.142857,0.142857,0.5,0
0,0.244898,0.244898,0.270833,1
0.027778,0.387755,0.387755,0.447917,1
0.027778,0.040816,0.040816,0.09375,0
0.194444,0,0,0.125,0
0.319444,0,0,0.21875,1
0.555556,0,0,0.395833,0
0.041667,0.061224,0.061224,0.28125,1
0.069444,0.122449,0.122449,0.25,1
0.055556,0.020408,0.020408,0.020833,0
0.194444,0.040816,0.040816,0.302083,0
0.055556,0.326531,0.326531,0.71875,1
0.222222,0.142857,0.142857,0.270833,0
0.027778,0.081633,0.081633,0.46875,1
0.194444,0,0,0.125,0
0.152778,0.020408,0.020408,0.229167,0
0.027778,0.306122,0.306122,0.822917,0
0.027778,0.163265,0.163265,0.208333,1
0.291667,0,0,0.197917,0
0.027778,0.102041,0.102041,0.145833,1
0.055556,0.081633,0.081633,0.458333,0
0,0.020408,0.020408,0.020833,0
0.055556,0.102041,0.102041,0.34375,0
0.222222,0.040816,0.040816,0.395833,0
0.055556,0.183673,0.183673,0.270833,1
0.194444,0,0,0.125,0
0.055556,0.142857,0.142857,0.333333,1
0.194444,0.061224,0.061224,0.208333,1
0.027778,0.061224,0.061224,0.09375,0
0.194444,0.102041,0.102041,0.510417,0
0.027778,0.22449,0.22449,0.96875,0
0.027778,0.061224,0.061224,0.145833,0
0.055556,0,0,0.020833,0
0.208333,0.081633,0.081633,0.322917,0
0.027778,0.081633,0.081633,0.145833,0
0.319444,0.122449,0.122449,0.895833,0
0.194444,0.020408,0.020408,0.125,0
0.055556,0,0,0.020833,0
0.027778,0.020408,0.020408,0.083333,0
0.194444,0.122449,0.122449,0.25,0
0.125,0.020408,0.020408,0.520833,0
0.319444,0.102041,0.102041,0.447917,0
0.222222,0.183673,0.183673,0.625,0
0.152778,0.020408,0.020408,0.09375,0
0.027778,0.102041,0.102041,0.208333,0
0.027778,0.061224,0.061224,0.145833,0
0.194444,0,0,0.125,0
0.097222,0.081633,0.081633,0.34375,0
0.152778,0.081633,0.081633,0.364583,1
0.152778,0.040816,0.040816,0.25,0
0.222222,0.061224,0.061224,0.270833,0
0.027778,0,0,0,0
0.319444,0.020408,0.020408,0.270833,0
0.222222,0,0,0.145833,0
0.319444,0.020408,0.020408,0.25,0
0.055556,0.204082,0.204082,0.614583,0
0.222222,0.020408,0.020408,0.25,0
0.194444,0.040816,0.040816,0.84375,0
0.319444,0.142857,0.142857,0.645833,0
0.055556,0.061224,0.061224,0.166667,0
0.152778,0.102041,0.102041,0.71875,0
0.125,0.204082,0.204082,0.489583,1
0.152778,0.081633,0.081633,0.375,0
0.055556,0.183673,0.183673,0.270833,1
0.055556,0.081633,0.081633,0.125,1
0.166667,0.22449,0.22449,0.583333,0
0.055556,0,0,0.020833,0
0.319444,0.020408,0.020408,0.21875,0
0.541667,0,0,0.385417,0
0.027778,0.020408,0.020408,0.21875,0
1,0,0,0.729167,0
0.055556,0.081633,0.081633,0.583333,0
0.027778,0,0,0,0
0.194444,0.040816,0.040816,0.520833,0
0.069444,0.918367,0.918367,1,1
0.194444,0.122449,0.122449,0.447917,0
0.291667,0.102041,0.102041,0.875,0
0.222222,0.102041,0.102041,0.34375,1
0,0.510204,0.510204,0.770833,1
0.194444,0.081633,0.081633,0.75,0
0.027778,0.408163,0.408163,0.520833,1
0.055556,0.122449,0.122449,0.270833,0
0.180556,0.122449,0.122449,0.770833,0
0.166667,0.204082,0.204082,0.385417,0
0.055556,0.122449,0.122449,0.239583,0
0.319444,0.040816,0.040816,0.385417,0
0.027778,0.816327,0.816327,1,1
0.027778,0.306122,0.306122,0.645833,0
0.291667,0,0,0.197917,0
0.194444,0.040816,0.040816,0.802083,0
0.319444,0,0,0.21875,0
