@relation Blood_18

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric

@data
0.178082,0.040816,0.040816,0.40625,0
0.054795,0.122449,0.122449,0.25,1
0.178082,0.061224,0.061224,0.270833,1
0.30137,0.22449,0.22449,0.875,0
0.273973,0.040816,0.040816,0.34375,0
0.136986,0.102041,0.102041,0.25,0
0.041096,0.081633,0.081633,0.75,0
0.205479,0.061224,0.061224,0.322917,0
0.273973,0.244898,0.244898,0.572917,0
0.178082,0.061224,0.061224,0.395833,0
0.520548,0,0,0.385417,0
0.205479,0,0,0.145833,0
0.013699,0.102041,0.102041,0.208333,1
0.30137,0,0,0.21875,0
0.013699,0,0,0,0
0.013699,0.020408,0.020408,0.020833,1
0.273973,0,0,0.197917,0
0.150685,0.285714,0.285714,0.71875,0
0.30137,0.081633,0.081633,0.583333,0
0.041096,0.081633,0.081633,0.34375,1
0.013699,0,0,0,1
0.30137,0.122449,0.122449,0.895833,0
0.205479,0.040816,0.040816,0.197917,0
0.013699,0,0,0,0
0.178082,0,0,0.125,0
0.041096,0.183673,0.183673,0.270833,1
0.041096,0.204082,0.204082,0.96875,0
0.041096,0.163265,0.163265,0.395833,0
0.041096,0.081633,0.081633,0.145833,1
0.136986,0,0,0.09375,0
0.205479,0.183673,0.183673,0.625,0
0.178082,0.142857,0.142857,0.5,0
0.273973,0,0,0.197917,0
0.013699,0.122449,0.122449,0.770833,0
0.30137,0,0,0.21875,0
0.041096,0,0,0.020833,0
0.205479,0,0,0.145833,0
0.150685,0.163265,0.163265,0.604167,0
0.013699,0.22449,0.22449,1,0
0.328767,0.102041,0.102041,0.5,0
0.178082,0,0,0.125,0
0.30137,0,0,0.21875,0
0.041096,0.204082,0.204082,0.270833,0
0.041096,0.102041,0.102041,0.34375,0
0.013699,0.183673,0.183673,0.520833,0
0.041096,0.244898,0.244898,0.385417,1
0.041096,0,0,0.020833,1
0.205479,0.061224,0.061224,0.395833,0
0.205479,0,0,0.145833,0
0.273973,0.306122,0.306122,0.645833,0
0.013699,0.040816,0.040816,0.125,0
0.013699,1,1,1,1
0.136986,0.142857,0.142857,0.479167,0
0.041096,0,0,0.020833,0
0.013699,0.081633,0.081633,0.322917,1
0.205479,0.020408,0.020408,0.25,0
0.041096,0.142857,0.142857,0.333333,1
0.30137,0.061224,0.061224,0.885417,0
0.136986,0.142857,0.142857,0.729167,0
0.178082,0,0,0.125,0
0.013699,0.040816,0.040816,0.520833,0
0.041096,0.142857,0.142857,0.395833,1
0.205479,0,0,0.145833,0
0.041096,0.040816,0.040816,0.239583,1
0.041096,0.081633,0.081633,0.270833,0
0,0.163265,0.163265,0.510417,0
0.041096,0.081633,0.081633,0.145833,1
0.013699,0.061224,0.061224,0.145833,0
0.013699,0.040816,0.040816,0.208333,0
