@relation Faults_19

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric
@attribute 20 numeric
@attribute 21 numeric
@attribute 22 numeric
@attribute 23 numeric
@attribute 24 numeric
@attribute 25 numeric
@attribute 26 numeric
@attribute 27 numeric

@data
0.163636,0.167349,0.008652,0.008652,0.00055,0.001244,0.000496,0.000667,0.374359,0.253333,0.823633,0,1,0.076923,0.330989,0.231169,0.908339,0.00805,0.729403,1,0,0.369528,0.348316,0.023481,0.445418,0.292946,0.111578,6
0.008798,0.011703,0.124334,0.124335,0.000996,0.001723,0.001157,0.001679,0.528205,0.566667,0.231041,1,0,0.115385,0.022207,0.235406,0.404154,0.008211,0.441964,1,1,0.41862,0.022498,0.315214,0.794683,0.516982,0.242792,0
0.022874,0.122879,0.117133,0.117137,0.043622,0.023452,0.007272,0.059172,0.210256,0.413333,0.227513,0,1,0,0.057777,0.448459,0.371887,0.205442,0.704241,0.437095,0,0.736068,0.066887,0.427243,0.172891,0.357528,1,2
0.078006,0.084845,0.290526,0.290527,0.0015,0.002202,0.001432,0.001816,0.34359,0.353333,0.241623,1,0,0.615385,0.195941,0.492955,0.58919,0.016422,0.63474,1,1,0.45279,0.404354,0.336112,0.700681,0.2887,0.663678,5
0.126686,0.143944,0.058329,0.058333,0.006132,0.011008,0.005124,0.009479,0.523077,0.413333,0.227513,1,0,0.115385,0.320137,0.669774,0.448724,0.037997,0.280235,0.77419,1,0.570882,0.517118,0.440299,0.77204,0.449379,1,1
0.022874,0.122879,0.095193,0.095206,0.100961,0.076003,0.02628,0.155137,0.123077,0.473333,0.305115,0,1,0,0.055969,0.560441,0.935263,0.198841,0.208502,0.319777,1,0.806776,0.066887,0.533449,0.524871,0.444726,1,2
0,0.003511,0.130558,0.130561,0.001363,0.003255,0.002589,0.001481,0.374359,0.193333,0.186949,0,1,0,0,0.595932,0.201674,0.00966,0.267248,1,1,0.444757,0.024075,0.394768,0.897546,0.229425,0.734279,0
0.06393,0.103569,0.143384,0.143387,0.01206,0.016177,0.004628,0.019835,0.589744,0.426667,0.227513,0,1,0,0.161576,0.557262,0.747908,0.083078,0.412642,0.592514,0,0.627794,0.629331,0.406791,0.363916,0.497142,1,2
0.365396,0.366881,0.023327,0.023327,0.00038,0.00067,0.000606,0.000374,0.317949,0.14,0.823633,1,0,0.657692,0.739047,0.397288,0.66391,0.005152,0.887277,1,1,0.33918,0.020738,0.253411,0.662722,0.187949,0.093984,0
0.045748,0.052662,0.116838,0.116841,0.00302,0.006413,0.00292,0.005199,0.605128,0.466667,0.234568,0,1,0.346154,0.115253,0.446234,0.314309,0.016583,0.220678,0.917207,1,0.51139,0.404354,0.039895,0.840326,0.534291,0.960272,6
0.483284,0.484494,0.070992,0.070992,0.000334,0.00067,0.000386,0.000758,0.810256,0.733333,0.282187,0,1,0,0.80416,0.182117,1,0.006923,0.887277,1,0.5,0.328741,0.020738,0.021206,0.491983,0.787639,0.057435,2
0.046334,0.053248,0.102371,0.102371,0.000465,0.001723,0.000551,0.000697,0.528205,0.366667,0.227513,1,0,0.115385,0.117062,0.455239,0.495815,0.016583,0.797078,0.695307,0,0.355713,0.404354,0.021206,0.235849,0.428152,0.135528,1
0.682698,0.698069,0.005597,0.005598,0.00283,0.007083,0.002755,0.004071,0.497436,0.373333,0.231041,0,1,0,0.238244,0.543384,0.816678,0.036709,0.425933,0.47419,0,0.505938,0.51264,0.336112,0.398853,0.397779,0.97798,6
0.071554,0.08309,0.015141,0.01514,0.000609,0.002967,0.001157,0.001063,0.635897,0.48,0.238095,0,1,0,0.180064,0.593495,0.369769,0.025922,0.723316,0.339777,0,0.377911,0.465007,0.022406,0.171815,0.544252,0.273666,6
0.024047,0.227618,0.147713,0.147727,0.068305,0.055135,0.020991,0.103229,0.169231,0.466667,0.308642,0,1,0,0.058782,0.897659,0.547343,0.401868,0.603287,0.450056,0,0.773847,0.866708,0.537206,0.262026,0.432479,1,2
0.686217,0.690462,0.079514,0.079514,0.000727,0.002393,0.000937,0.001271,0.641026,0.473333,0.238095,1,0,0.115385,0.262661,0.489353,0.932742,0.014168,0.511465,0.813743,1,0.392541,0.384377,0.276164,0.526151,0.546212,0.263224,6
0.712023,0.712697,0.0563,0.056301,0.00095,0.002489,0.001653,0.001437,0.538462,0.413333,0.238095,0,1,0.519231,0.206592,0.410531,0.260563,0.007084,0.275264,0.963911,1,0.4147,0.020738,0.346843,0.86763,0.434193,0.316345,1
0.06217,0.066706,0.062148,0.062151,0.002882,0.001053,0.002589,0.004326,0.389744,0.48,0.811287,0,1,0.423077,0.126306,0.246424,0.243723,0.009016,0.921976,1,1,0.507471,0.361335,0.394768,0.876185,0.427743,0.842452,0
0.011144,0.014043,0.216092,0.216093,0.001245,0.003159,0.001928,0.001562,0.410256,0.313333,0.223986,1,0,0.115385,0.028236,0.431614,0.243723,0.008211,0.246246,1,1,0.437209,0.022498,0.36544,0.876185,0.3105,0.473553,1
0.022874,0.101814,0.201874,0.201885,0.05238,0.053221,0.018842,0.076738,0.251282,0.46,0.305115,0,1,0,0.055969,0.683123,0.856812,0.157463,0.238129,0.410391,1,0.069893,0.063443,0.51882,0.564725,0.410108,1,2
0.981232,0.984786,0.145206,0.145206,0.00055,0.00201,0.000937,0.000534,0.14359,0.2,0.820106,1,0,0.115385,0.005928,0.697849,0.77594,0.010948,0.602983,1,1,0.369528,0.384377,0.294761,0.605809,0.178315,0.338252,6
0.275073,0.285547,0.298481,0.298481,0.001002,0.002489,0.000881,0.001455,0.471795,0.386667,0.746032,1,0,0.115385,0.571242,0.639475,0.736916,0.019965,0.818791,1,0,0.419163,0.458635,0.288938,0.358332,0.404801,0.595687,6
0.012317,0.013458,0.152704,0.152705,0.000721,0.001819,0.001488,0.001117,0.564103,0.406667,0.227513,0,1,0,0.03115,0.353109,0.207724,0.004669,0.275264,1,1,0.391784,0.016436,0.339822,0.894473,0.452074,0.194211,5
0.073314,0.084845,0.026955,0.026955,0.001101,0.003542,0.001047,0.001917,0.630769,0.466667,0.238095,0,1,0.230769,0.184486,0.523361,0.579812,0.025922,0.609781,0.664804,0,0.426944,0.465007,0.26912,0.278521,0.543517,0.496027,5
0.157185,0.160913,0.994559,0.994561,0.002895,0.003925,0.003306,0.003884,0.4,0.366667,0.234568,0,1,0,0.396001,0.358407,0.17344,0.010626,0.244927,1,1,0.507859,0.348316,0.419212,0.91189,0.350833,0.910556,0
0.060997,0.067876,0.080106,0.080106,0.001192,0.001723,0.000937,0.00168,0.394872,0.413333,0.813051,1,0,0.076923,0.123794,0.382562,0.88797,0.01288,0.797078,1,1,0.433619,0.404354,0.294761,0.548896,0.384389,0.405562,5
0.903226,0.909304,0.115897,0.115929,0.030684,0.023835,0.02347,0.039183,0.153846,0.413333,0.813051,1,0,0.115385,0.154743,0.412014,0.034184,0.014812,0.058137,0.99743,1,0.706438,0.421988,0.617418,0.982634,0.319073,1,0
0.649853,0.653013,0.191851,0.191851,0.000884,0.001053,0.000826,0.00133,0.435897,0.413333,0.257496,0,1,0,0.370277,0.303528,0.747908,0.011592,0.921976,1,1,0.408763,0.361335,0.282739,0.62005,0.430193,0.232804,6
0.63871,0.64014,0.068984,0.068984,0.000465,0.000957,0.000826,0.000582,0.410256,0.353333,0.234568,1,0,1,0.387158,0.486598,0.596652,0.008211,0.746347,0.930168,1,0.355713,0.022498,0.276164,0.696891,0.311806,0.145176,6
0.193548,0.198362,0.032549,0.03255,0.001716,0.001244,0.001377,0.002545,0.271795,0.513333,0.811287,0,1,0.423077,0.393087,0.23191,0.495815,0.009982,0.864752,1,1,0.464045,0.373286,0.033226,0.748117,0.419252,0.499773,0
