@relation Ecoli_4

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric

@data
0.258427,0.210526,0,0,0.4125,0.257732,0.26506,0
0.303371,0.236842,0,0,0.3875,0.360825,0.325301,0
0.775281,0.552632,0,0,0.4375,0.484536,0.108434,7
0.775281,0.197368,0,0,0.6375,0.752577,0.759036,1
0.94382,0.394737,0,0,0.8625,0.917526,0.650602,4
0.786517,0.289474,0,0,0.625,0.773196,0.686747,1
0.393258,0.131579,0,0,0.5,0.278351,0.13253,0
0.280899,0.355263,0,0,0.3875,0.402062,0.409639,0
0.842697,0.407895,1,1,0.425,0.453608,0.168675,3
0.52809,0.407895,0,0,0.65,0.701031,0.710843,1
0.640449,0.184211,0,0,0,0.474227,0.204819,4
0.674157,0.486842,0,0,0.6,0.659794,0.662651,1
0.325843,0.078947,0,0,0.4875,0,0.012048,0
0.831461,0.657895,0,0,0.3125,0.515464,0.433735,7
0.561798,0.552632,0,0,0.3125,0.917526,0.915663,1
0.52809,0.289474,0,0,0.7,0.731959,0.73494,4
0.786517,0.486842,0,0,0.625,0.505155,0.325301,7
0.640449,0.394737,0,0,0.3875,0.257732,0.204819,0
0.269663,0.25,0,0,0.6,0.505155,0.518072,0
0.314607,0.118421,0,0,0.4875,0.195876,0.204819,0
0.438202,0.105263,0,0,0.5,0.216495,0.228916,0
0.775281,0.25,0,0,0.6625,0.731959,0.73494,4
0.752809,0.605263,0,0,0.5,0.43299,0.204819,7
0.303371,0.078947,0,0,0.8125,0.257732,0.277108,0
0.370787,0.276316,0,0,0.575,0.298969,0.301205,0
0.719101,0.684211,0,0,0.4875,0.329897,0.26506,0
0.382022,0.407895,0,0,0.65,0.28866,0.301205,0
0.764045,0.565789,0,0,0.5375,0.381443,0.216867,7
0.573034,0.289474,0,0,0.65,0.28866,0.301205,0
0.94382,0.263158,0,0,0.525,0.701031,0.698795,1
0.797753,0.368421,0,0,0.725,1,1,1
0.550562,0.065789,0,0,0.625,0.216495,0.228916,0
0.348315,0.342105,0,0,0.6375,0.835052,0.831325,1
0.606742,0.328947,0,0,0.425,0.865979,0.86747,1
0.044944,0.092105,0,0,0.4375,0.268041,0.277108,0
0.483146,0.171053,0,0,0.5875,0.329897,0.337349,0
0.910112,0.263158,0,0,0.45,0.659794,0.626506,4
0.426966,0.026316,0,0,0.6,0.134021,0.144578,0
0.752809,0.75,0,0,0.2375,0.402062,0.108434,7
0.741573,0.657895,0,0,0.3125,0.360825,0.325301,7
0.393258,0.315789,0,0,0.625,0.381443,0.385542,0
0.808989,0.289474,0,0,0.5625,0.649485,0.650602,1
0.269663,0.144737,0,0,0.3125,0.164948,0.180723,0
0.741573,0.815789,0,0,0.35,0.391753,0.240964,7
0.235955,0.355263,0,0,0.55,0.298969,0.301205,0
0.853933,0.618421,0,0,0.55,0.701031,0.710843,4
0.775281,0.565789,0,0,0.3,0.371134,0.096386,7
0.752809,0.842105,0,0,0.8375,0.484536,0.108434,5
0.629213,0.355263,0,0,0.35,0.350515,0.361446,0
0.561798,0.355263,0,0,0.2625,0.206186,0.216867,0
0.775281,0.736842,0,0,0.5,0.556701,0.120482,7
0.561798,0.171053,0,0,0.75,0.628866,0.638554,1
0.651685,0.473684,0,0,0.6625,0.721649,0.722892,4
0.696629,0.710526,0,0,0.5125,0.474227,0.457831,7
0.269663,0.25,0,0,0.3875,0.257732,0.26506,0
0.966292,0.197368,0,0,0.6625,0.886598,0.891566,4
0.719101,0.789474,0,0,0.3875,0.43299,0.289157,7
0.348315,0.263158,0,0,0.55,0.783505,0.795181,1
0.786517,0.381579,0,0,0.8,0.85567,0.855422,4
0.573034,0.210526,0,0,0.6375,0.608247,0.614458,1
0.730337,0.355263,0,0,0.75,0.525773,0.204819,5
0.629213,0.578947,0,0,0.8875,0.340206,0.349398,5
0.483146,0.105263,0,0,0.3375,0.43299,0.433735,0
0.539326,0.236842,0,0,0.4875,0.226804,0.228916,0
0.775281,0.460526,0,0,0.8875,0.371134,0.060241,5
0.820225,0.026316,0,0,0.6375,0.742268,0.746988,4
0.741573,0.328947,1,0,0.6,0.546392,0.240964,6
0.88764,0.157895,0,0,0.5,0.814433,0.650602,4
0.52809,0.065789,0,0,0.5625,0.309278,0.325301,0
0.831461,0.302632,0,0,0.55,0.556701,0.313253,7
0.280899,0.171053,0,0,0.4625,0.237113,0.240964,0
0.303371,0.144737,0,0,0.5625,0.762887,0.759036,1
0.764045,0.355263,0,0,0.8125,0.742268,0.746988,1
0.460674,0.355263,0,0,0.65,0.175258,0.180723,0
0.764045,0.328947,1,0,0.7,0.536082,0.144578,6
0.11236,0.328947,0,0,0.4375,0.659794,0.060241,1
0.404494,0.421053,0,0,0.4625,0.43299,0.445783,0
0.719101,0.710526,0,0,0.55,0.340206,0.26506,7
0.269663,0.131579,0,0,0.4,0.278351,0.289157,0
0.382022,0.565789,0,0,0.575,0.752577,0.759036,1
0.752809,0.171053,0,0,0.6,0.628866,0.626506,4
0.483146,0.210526,0,0,0.65,0.742268,0.746988,1
0.325843,0.052632,0,0,0.475,0.206186,0.216867,0
0.382022,0.289474,0,0,0.575,0.329897,0.337349,0
