@relation Ecoli_16

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric

@data
0.078652,0.210526,0,0,0.627907,0.329897,0.438776,0
0.393258,0.171053,0,0,0.348837,0.319588,0.428571,0
0.595506,0.184211,0,0,0.511628,0.237113,0.357143,0
0.539326,0.276316,0,0,0.697674,0.773196,0.806122,1
0.52809,0.460526,0,0,0.604651,0.752577,0.795918,1
0.707865,0.355263,0,0,0.744186,0.71134,0.765306,4
0.797753,0.368421,0,0,0.744186,1,1,1
0.202247,0.078947,0,0,0.534884,0.216495,0.346939,0
0.797753,0.815789,0,0,0.465116,0.525773,0.316327,7
0.573034,0.171053,0,0,0.406977,0.340206,0.44898,0
0.426966,0.263158,0,0,0.5,0.175258,0.306122,0
0.764045,0.710526,0,0,0.5,0.42268,0.418367,7
0.752809,0.842105,0,0,0.848837,0.484536,0.244898,5
0.573034,0.394737,0,0,0.476744,0.319588,0.428571,0
0.483146,0.210526,0,0,0.453488,0.257732,0.387755,0
0.651685,0.473684,0,0,0.686047,0.721649,0.765306,4
0.505618,0.210526,0,0,0.709302,0.731959,0.77551,1
0.449438,0.289474,0,0,0.604651,0.474227,0.561224,0
0.719101,0.447368,0,0,0.55814,0.773196,0.734694,1
0.719101,0.434211,0,0,0.813953,0.309278,0.255102,5
0.831461,0.868421,0,0,0.662791,0.515464,0.285714,5
0.685393,0.473684,0,0,0.511628,0.371134,0.377551,7
0.640449,0.394737,0,0,0.430233,0.257732,0.326531,0
0.707865,0.592105,0,0,0.755814,0.391753,0.27551,5
0.280899,0.210526,0,0,0.534884,0.42268,0.520408,0
0.707865,0.618421,0,0,0.697674,0.381443,0.387755,7
0.494382,0.144737,0,0,0.511628,0.505155,0.591837,0
0.404494,0.276316,0,0,0.44186,0.783505,0.163265,1
0.876404,0.118421,0,0,0.662791,0.762887,0.795918,4
