@relation Segmentation_10

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 13 numeric
@attribute 14 numeric
@attribute 15 numeric
@attribute 16 numeric
@attribute 17 numeric
@attribute 18 numeric
@attribute 19 numeric

@data
0.616601,0.720833,0,0,0,0.045726,0.001029,0.030769,0.000949,0.135554,0.111021,0.120766,0.174591,0.621269,0.089728,0.857685,0.164948,0.38821,0.91723,6
0.735178,0.395833,0,0,0,0.145129,0.016391,0.161538,0.059868,0.262845,0.248784,0.303387,0.233048,0.652985,0.386068,0.349146,0.303387,0.270907,0.173587,3
0.003953,0.1375,0,0,0,0.077535,0.003176,0.055128,0.00172,0.130648,0.126418,0.167158,0.095869,0.76306,0.335301,0.318786,0.167158,0.457681,0.21664,0
0.051383,0.5625,0,0.5,0,0.031809,0.00063,0.025641,0.000833,0.073845,0.058347,0.103829,0.056898,0.703358,0.290437,0.451613,0.103829,0.487864,0.157012,3
0.063241,0.470833,0,0,0,0.04175,0.000812,0.033333,0.000883,0.008004,0.001621,0.017673,0.003897,0.787313,0.177096,0.548387,0.017673,0.953704,0.146889,2
0.039526,0.7875,0,0,0,0.11332,0.00403,0.091026,0.002789,0.373354,0.338736,0.446244,0.328917,0.475746,0.567887,0.237192,0.446244,0.313032,0.155699,5
0.592885,0.375,0,0,0,0.343936,0.00869,0.011538,0.000393,0.217403,0.198541,0.261414,0.18862,0.634328,0.391972,0.358634,0.261414,0.327288,0.165493,3
0.083004,0.316667,0,0,0,0.067594,0.001674,0.026923,0.000701,0.446424,0.406807,0.532401,0.392829,0.41791,0.64817,0.166983,0.532401,0.3097,0.157656,3
0.245059,0.791667,0,0,0,0.05169,0.001221,0.021795,0.000621,0.054222,0.045381,0.036819,0.08106,0.755597,0.057851,0.772296,0.076583,0.543201,0.843957,6
0.513834,0.016667,0,0.5,0,0.031809,0.001398,0.04359,0.002432,0.907307,0.872771,0.963181,0.879969,0.30597,0.612751,0.337761,0.963181,0.176494,0.12074,1
0.719368,0.591667,0,0,0,0.178926,0.016307,0.069231,0.007746,0.195198,0.155592,0.256996,0.167576,0.498134,0.472255,0.368121,0.256996,0.447745,0.134544,3
0.628458,0.125,0,0,0,0.029821,0.001076,0.005128,0.000194,0.004906,0.004052,0.0081,0.002338,0.826493,0.145218,0.559772,0.0081,0.537037,0.201297,4
0.047431,0.545833,0,0,0,0.013916,0.000084,0.029487,0.000171,0.032017,0.045381,0.03461,0.016368,0.916045,0.14876,0.462998,0.041973,0.630159,0.380724,0
0.395257,0.458333,0,0.5,0,0.023857,0.001121,0.034615,0.000999,0.023754,0.008104,0.039764,0.021824,0.718284,0.211334,0.563567,0.039764,0.843518,0.088138,2
0.296443,0.991667,0,0.5,0,0.073559,0.002742,0.053846,0.006197,0.093209,0.089141,0.086892,0.103663,0.776119,0.120425,0.650854,0.099411,0.203249,0.941403,6
